county,id,value
Appling County,13001,0.00
Atkinson County,13003,0.00
Bacon County,13005,0.00
Baker County,13007,0.00
Baldwin County,13009,0.00
Banks County,13011,0.00
Barrow County,13013,0.00
Bartow County,13015,0.00
Ben Hill County,13017,0.00
Berrien County,13019,0.00
Bibb County,13021,0.00
Bleckley County,13023,0.00
Brantley County,13025,0.00
Brooks County,13027,0.00
Bryan County,13029,0.00
Bulloch County,13031,0.00
Burke County,13033,0.00
Butts County,13035,0.00
Calhoun County,13037,0.00
Camden County,13039,0.00
Candler County,13043,0.00
Carroll County,13045,0.00
Catoosa County,13047,0.00
Charlton County,13049,0.00
Chatham County,13051,0.00
Chattahoochee County,13053,0.00
Chattooga County,13055,0.00
Cherokee County,13057,0.00
Clarke County,13059,0.00
Clay County,13061,0.00
Clayton County,13063,0.00
Clinch County,13065,0.00
Cobb County,13067,0.00
Coffee County,13069,0.00
Colquitt County,13071,0.00
Columbia County,13073,0.00
Cook County,13075,0.00
Coweta County,13077,0.00
Crawford County,13079,0.00
Crisp County,13081,0.00
Dade County,13083,0.00
Dawson County,13085,0.00
Decatur County,13087,0.00
DeKalb County,13089,0.00
Dodge County,13091,0.00
Dooly County,13093,0.00
Dougherty County,13095,0.00
Douglas County,13097,0.00
Early County,13099,0.00
Echols County,13101,0.00
Effingham County,13103,0.00
Elbert County,13105,0.00
Emanuel County,13107,0.00
Evans County,13109,0.00
Fannin County,13111,0.00
Fayette County,13113,0.00
Floyd County,13115,0.00
Forsyth County,13117,0.00
Franklin County,13119,0.00
Fulton County,13121,0.00
Gilmer County,13123,0.00
Glascock County,13125,0.00
Glynn County,13127,0.00
Gordon County,13129,0.00
Grady County,13131,0.00
Greene County,13133,0.00
Gwinnett County,13135,0.00
Habersham County,13137,0.00
Hall County,13139,0.00
Hancock County,13141,0.00
Haralson County,13143,0.00
Harris County,13145,0.00
Hart County,13147,0.00
Heard County,13149,0.00
Henry County,13151,0.00
Houston County,13153,0.00
Irwin County,13155,0.00
Jackson County,13157,0.00
Jasper County,13159,0.00
Jeff Davis County,13161,0.00
Jefferson County,13163,0.00
Jenkins County,13165,0.00
Johnson County,13167,0.00
Jones County,13169,0.00
Lamar County,13171,0.00
Lanier County,13173,0.00
Laurens County,13175,0.00
Lee County,13177,0.00
Liberty County,13179,0.00
Lincoln County,13181,0.00
Long County,13183,0.00
Lowndes County,13185,0.00
Lumpkin County,13187,0.00
McDuffie County,13189,0.00
McIntosh County,13191,0.00
Macon County,13193,0.00
Madison County,13195,0.00
Marion County,13197,0.00
Meriwether County,13199,0.00
Miller County,13201,0.00
Mitchell County,13205,0.00
Monroe County,13207,0.00
Montgomery County,13209,0.00
Morgan County,13211,0.00
Murray County,13213,0.00
Muscogee County,13215,0.00
Newton County,13217,0.00
Oconee County,13219,0.00
Oglethorpe County,13221,0.00
Paulding County,13223,0.00
Peach County,13225,0.00
Pickens County,13227,0.00
Pierce County,13229,0.00
Pike County,13231,0.00
Polk County,13233,0.00
Pulaski County,13235,0.00
Putnam County,13237,0.00
Quitman County,13239,0.00
Rabun County,13241,0.00
Randolph County,13243,0.00
Richmond County,13245,0.00
Rockdale County,13247,0.00
Schley County,13249,0.00
Screven County,13251,0.00
Seminole County,13253,0.00
Spalding County,13255,0.00
Stephens County,13257,0.00
Stewart County,13259,0.00
Sumter County,13261,0.00
Talbot County,13263,0.00
Taliaferro County,13265,0.00
Tattnall County,13267,0.00
Taylor County,13269,0.00
Telfair County,13271,0.00
Terrell County,13273,0.00
Thomas County,13275,0.00
Tift County,13277,0.00
Toombs County,13279,0.00
Towns County,13281,0.00
Treutlen County,13283,0.00
Troup County,13285,0.00
Turner County,13287,0.00
Twiggs County,13289,0.00
Union County,13291,0.00
Upson County,13293,0.00
Walker County,13295,0.00
Walton County,13297,0.00
Ware County,13299,0.00
Warren County,13301,0.00
Washington County,13303,0.00
Wayne County,13305,0.00
Webster County,13307,0.00
Wheeler County,13309,0.00
White County,13311,0.00
Whitfield County,13313,0.00
Wilcox County,13315,0.00
Wilkes County,13317,0.00
Wilkinson County,13319,0.00
Worth County,13321,0.00
,unit,-.0%
