county,CountyName,id,value
Appling County, Appling County,13001,15.4
Atkinson County, Atkinson County,13003,11.3
Bacon County, Bacon County,13005,14.3
Baker County, Baker County,13007,19.6
Baldwin County, Baldwin County,13009,13.7
Banks County, Banks County,13011,16.2
Barrow County, Barrow County,13013,11.1
Bartow County, Bartow County,13015,12.7
Ben Hill County, Ben Hill County,13017,15.3
Berrien County, Berrien County,13019,16.1
Bibb County, Bibb County,13021,14
Bleckley County, Bleckley County,13023,16.8
Brantley County, Brantley County,13025,14.3
Brooks County, Brooks County,13027,18.4
Bryan County, Bryan County,13029,10
Bulloch County, Bulloch County,13031,10.2
Burke County, Burke County,13033,14
Butts County, Butts County,13035,14.4
Calhoun County, Calhoun County,13037,12.5
Camden County, Camden County,13039,11.2
Candler County, Candler County,13043,16.6
Carroll County, Carroll County,13045,12.4
Catoosa County, Catoosa County,13047,15.8
Charlton County, Charlton County,13049,12.7
Chatham County, Chatham County,13051,13.6
Chattahoochee County, Chattahoochee County,13053,3.9
Chattooga County, Chattooga County,13055,16.1
Cherokee County, Cherokee County,13057,11.9
Clarke County, Clarke County,13059,9.7
Clay County, Clay County,13061,23.8
Clayton County, Clayton County,13063,8.2
Clinch County, Clinch County,13065,15.2
Cobb County, Cobb County,13067,10.6
Coffee County, Coffee County,13069,12.5
Colquitt County, Colquitt County,13071,13.9
Columbia County, Columbia County,13073,11.6
Cook County, Cook County,13075,14.7
Coweta County, Coweta County,13077,12.5
Crawford County, Crawford County,13079,16.7
Crisp County, Crisp County,13081,15.5
Dade County, Dade County,13083,17
Dawson County, Dawson County,13085,18.2
Decatur County, Decatur County,13089,10.2
DeKalb County, DeKalb County,13087,15.5
Dodge County, Dodge County,13091,15.1
Dooly County, Dooly County,13093,15.6
Dougherty County, Dougherty County,13095,13.4
Douglas County, Douglas County,13097,10.4
Early County, Early County,13099,18.4
Echols County, Echols County,13101,11.2
Effingham County, Effingham County,13103,10.5
Elbert County, Elbert County,13105,18.9
Emanuel County, Emanuel County,13107,15.6
Evans County, Evans County,13109,15.7
Fannin County, Fannin County,13111,25.6
Fayette County, Fayette County,13113,16
Floyd County, Floyd County,13115,15.5
Forsyth County, Forsyth County,13117,11.1
Franklin County, Franklin County,13119,19.2
Fulton County, Fulton County,13121,10.4
Gilmer County, Gilmer County,13123,21.6
Glascock County, Glascock County,13125,16.9
Glynn County, Glynn County,13127,17.4
Gordon County, Gordon County,13129,13.5
Grady County, Grady County,13131,16.3
Greene County, Greene County,13133,26
Gwinnett County, Gwinnett County,13135,8.5
Habersham County, Habersham County,13137,17.7
Hall County, Hall County,13139,13.6
Hancock County, Hancock County,13141,19.4
Haralson County, Haralson County,13143,15.8
Harris County, Harris County,13145,16.2
Hart County, Hart County,13147,20.3
Heard County, Heard County,13149,15.3
Henry County, Henry County,13151,10.4
Houston County, Houston County,13153,11.8
Irwin County, Irwin County,13155,17.6
Jackson County, Jackson County,13157,13.5
Jasper County, Jasper County,13159,15.3
Jeff Davis County, Jeff Davis County,13161,14
Jefferson County, Jefferson County,13163,16.9
Jenkins County, Jenkins County,13165,17.7
Johnson County, Johnson County,13167,15.4
Jones County, Jones County,13169,15.8
Lamar County, Lamar County,13171,15.9
Lanier County, Lanier County,13173,12.3
Laurens County, Laurens County,13175,16.2
Lee County, Lee County,13177,10.6
Liberty County, Liberty County,13179,7.5
Lincoln County, Lincoln County,13181,20.5
Long County, Long County,13183,8.5
Lowndes County, Lowndes County,13185,10.9
Lumpkin County, Lumpkin County,13187,15.8
Macon County, Macon County,13193,14.4
