county,CountyName,id,value
Appling County, Appling County,13001,18.4
Atkinson County, Atkinson County,13003,17.1
Bacon County, Bacon County,13005,15.3
Baker County, Baker County,13007,46.4
Baldwin County, Baldwin County,13009,41.3
Banks County, Banks County,13011,2.3
Barrow County, Barrow County,13013,11.2
Bartow County, Bartow County,13015,10
Ben Hill County, Ben Hill County,13017,34.5
Berrien County, Berrien County,13019,10.6
Bibb County, Bibb County,13021,51.9
Bleckley County, Bleckley County,13023,27
Brantley County, Brantley County,13025,2.9
Brooks County, Brooks County,13027,35.1
Bryan County, Bryan County,13029,13.9
Bulloch County, Bulloch County,13031,27.4
Burke County, Burke County,13033,49.2
Butts County, Butts County,13035,27.2
Calhoun County, Calhoun County,13037,61.1
Camden County, Camden County,13039,19
Candler County, Candler County,13043,24.3
Carroll County, Carroll County,13045,18
Catoosa County, Catoosa County,13047,2.1
Charlton County, Charlton County,13049,28.3
Chatham County, Chatham County,13051,39.7
Chattahoochee County, Chattahoochee County,13053,18.2
Chattooga County, Chattooga County,13055,11.1
Cherokee County, Cherokee County,13057,5.4
Clarke County, Clarke County,13059,26.3
Clay County, Clay County,13061,60.3
Clayton County, Clayton County,13063,65.2
Clinch County, Clinch County,13065,27.6
Cobb County, Cobb County,13067,24.4
Coffee County, Coffee County,13069,26.5
Colquitt County, Colquitt County,13071,22.3
Columbia County, Columbia County,13073,14.6
Cook County, Cook County,13075,27.2
Coweta County, Coweta County,13077,17.1
Crawford County, Crawford County,13079,22.2
Crisp County, Crisp County,13081,42.8
Dade County, Dade County,13083,0.9
Dawson County, Dawson County,13085,0.4
Decatur County, Decatur County,13089,53.6
DeKalb County, DeKalb County,13087,40.8
Dodge County, Dodge County,13091,29.6
Dooly County, Dooly County,13093,49.5
Dougherty County, Dougherty County,13095,66.8
Douglas County, Douglas County,13097,38.8
Early County, Early County,13099,49.4
Echols County, Echols County,13101,4
Effingham County, Effingham County,13103,13.4
Elbert County, Elbert County,13105,29.3
Emanuel County, Emanuel County,13107,33.4
