county,CountyName,id,value
Appling County, Appling County,13001,0.7
Atkinson County, Atkinson County,13003,0.2
Bacon County, Bacon County,13005,0.3
Baker County, Baker County,13007,0.7
Baldwin County, Baldwin County,13009,1.3
Banks County, Banks County,13011,0.9
Barrow County, Barrow County,13013,3.4
Bartow County, Bartow County,13015,0.7
Ben Hill County, Ben Hill County,13017,0.7
Berrien County, Berrien County,13019,0.4
Bibb County, Bibb County,13021,1.6
Bleckley County, Bleckley County,13023,0.8
Brantley County, Brantley County,13025,0.2
Brooks County, Brooks County,13027,0.3
Bryan County, Bryan County,13029,1.6
Bulloch County, Bulloch County,13031,1.4
Burke County, Burke County,13033,0.3
Butts County, Butts County,13035,0.4
Calhoun County, Calhoun County,13037,0.4
Camden County, Camden County,13039,1.4
Candler County, Candler County,13043,0.5
Carroll County, Carroll County,13045,0.8
Catoosa County, Catoosa County,13047,1.2
Charlton County, Charlton County,13049,0.6
Chatham County, Chatham County,13051,2.3
Chattahoochee County, Chattahoochee County,13053,2.1
Chattooga County, Chattooga County,13055,0.4
Cherokee County, Cherokee County,13057,1.6
Clarke County, Clarke County,13059,4.1
Clay County, Clay County,13061,0.3
Clayton County, Clayton County,13063,4.9
Clinch County, Clinch County,13065,0.2
Cobb County, Cobb County,13067,4.4
Coffee County, Coffee County,13069,0.7
Colquitt County, Colquitt County,13071,0.6
Columbia County, Columbia County,13073,3.8
Cook County, Cook County,13075,0.7
Coweta County, Coweta County,13077,1.5
Crawford County, Crawford County,13079,0.3
Crisp County, Crisp County,13081,0.8
Dade County, Dade County,13083,0.7
Dawson County, Dawson County,13085,0.6
Decatur County, Decatur County,13089,5.1
DeKalb County, DeKalb County,13087,0.5
Dodge County, Dodge County,13091,0.5
Dooly County, Dooly County,13093,0.6
Dougherty County, Dougherty County,13095,0.8
Douglas County, Douglas County,13097,1.4
Early County, Early County,13099,0.3
Echols County, Echols County,13101,0.3
Effingham County, Effingham County,13103,0.8
Elbert County, Elbert County,13105,0.6
Emanuel County, Emanuel County,13107,0.7
Evans County, Evans County,13109,0.5
Fannin County, Fannin County,13111,0.3
Fayette County, Fayette County,13113,3.9
Floyd County, Floyd County,13115,1.3
Forsyth County, Forsyth County,13117,6.2
Franklin County, Franklin County,13119,0.5
Fulton County, Fulton County,13121,5.6
Gilmer County, Gilmer County,13123,0.2
Glascock County, Glascock County,13125,0
Glynn County, Glynn County,13127,1.1
Gordon County, Gordon County,13129,0.9
Grady County, Grady County,13131,0.4
Greene County, Greene County,13133,0.3
Gwinnett County, Gwinnett County,13135,10.5
Habersham County, Habersham County,13137,2.2
Hall County, Hall County,13139,1.8
Hancock County, Hancock County,13141,0.5
Haralson County, Haralson County,13143,0.5
Harris County, Harris County,13145,0.9
Hart County, Hart County,13147,0.8
Heard County, Heard County,13149,0.5
Henry County, Henry County,13151,2.9
Houston County, Houston County,13153,2.4
Irwin County, Irwin County,13155,0.6
Jackson County, Jackson County,13157,1.7
Jasper County, Jasper County,13159,0.2
Jeff Davis County, Jeff Davis County,13161,0.5
Jefferson County, Jefferson County,13163,0.4
Jenkins County, Jenkins County,13165,0.4
Johnson County, Johnson County,13167,0.2
Jones County, Jones County,13169,0.6
Lamar County, Lamar County,13171,0.4
Lanier County, Lanier County,13173,1
Laurens County, Laurens County,13175,1
Lee County, Lee County,13177,2.2
Liberty County, Liberty County,13179,1.9
Lincoln County, Lincoln County,13181,0.4
Long County, Long County,13183,0.8
Lowndes County, Lowndes County,13185,1.4
Lumpkin County, Lumpkin County,13187,0.4
Macon County, Macon County,13193,1.3
Madison County, Madison County,13195,0.6
Marion County, Marion County,13197,0.9
McDuffie County, McDuffie County,13189,0.3
McIntosh County, McIntosh County,13191,0.3
Meriwether County, Meriwether County,13199,0.6
Miller County, Miller County,13201,0.4
Mitchell County, Mitchell County,13205,0.5
Monroe County, Monroe County,13207,0.8
Montgomery County, Montgomery County,13209,0.3
Morgan County, Morgan County,13211,0.6
Murray County, Murray County,13213,0.3
Muscogee County, Muscogee County,13215,2.1
Newton County, Newton County,13217,0.9
Oconee County, Oconee County,13219,3.1
Oglethorpe County, Oglethorpe County,13221,0.4
Paulding County, Paulding County,13223,0.9
Peach County, Peach County,13225,0.8
Pickens County, Pickens County,13227,0.4
Pierce County, Pierce County,13229,0.3
Pike County, Pike County,13231,0.3
Polk County, Polk County,13233,0.7
Pulaski County, Pulaski County,13235,0.9
Putnam County, Putnam County,13237,0.5
Quitman County, Quitman County,13239,0.1
Rabun County, Rabun County,13241,0.7
Randolph County, Randolph County,13243,0.3
Richmond County, Richmond County,13245,1.6
Rockdale County, Rockdale County,13247,1.8
Schley County, Schley County,13249,0.7
Screven County, Screven County,13251,0.4
Seminole County, Seminole County,13253,0.4
Spalding County, Spalding County,13255,0.9
Stephens County, Stephens County,13257,0.7
Stewart County, Stewart County,13259,0.7
Sumter County, Sumter County,13261,1.3
Talbot County, Talbot County,13263,0.1
Taliaferro County, Taliaferro County,13265,0.5
Tattnall County, Tattnall County,13267,0.4
Taylor County, Taylor County,13269,0.6
Telfair County, Telfair County,13271,0.5
Terrell County, Terrell County,13273,0.3
Thomas County, Thomas County,13275,0.7
Tift County, Tift County,13277,1.3
Toombs County, Toombs County,13279,0.7
Towns County, Towns County,13281,0.4
Treutlen County, Treutlen County,13283,0.2
Troup County, Troup County,13285,1.6
Turner County, Turner County,13287,0.4
Twiggs County, Twiggs County,13289,0.2
Union County, Union County,13291,0.4
Upson County, Upson County,13293,0.5
Walker County, Walker County,13295,0.4
Walton County, Walton County,13297,1.1
Ware County, Ware County,13299,0.8
Warren County, Warren County,13301,0.4
Washington County, Washington County,13303,0.5
Wayne County, Wayne County,13305,0.5
