county,CountyName,id,value
Appling County, Appling County,13001,4.2
Atkinson County, Atkinson County,13003,14
Bacon County, Bacon County,13005,5.4
Baker County, Baker County,13007,4
Baldwin County, Baldwin County,13009,2.4
Banks County, Banks County,13011,5.1
Barrow County, Barrow County,13013,7.9
Bartow County, Bartow County,13015,5.5
Ben Hill County, Ben Hill County,13017,3.1
Berrien County, Berrien County,13019,3.5
Bibb County, Bibb County,13021,3.6
Bleckley County, Bleckley County,13023,2
Brantley County, Brantley County,13025,1.3
Brooks County, Brooks County,13027,4.1
Bryan County, Bryan County,13029,4.4
Bulloch County, Bulloch County,13031,3.4
Burke County, Burke County,13033,1.9
Butts County, Butts County,13035,3
Calhoun County, Calhoun County,13037,4.3
Camden County, Camden County,13039,4.2
Candler County, Candler County,13043,5.4
Carroll County, Carroll County,13045,4
Catoosa County, Catoosa County,13047,2.3
Charlton County, Charlton County,13049,10.4
Chatham County, Chatham County,13051,6.8
Chattahoochee County, Chattahoochee County,13053,6.9
Chattooga County, Chattooga County,13055,3
Cherokee County, Cherokee County,13057,9.5
Clarke County, Clarke County,13059,11.5
Clay County, Clay County,13061,0.3
Clayton County, Clayton County,13063,16.1
Clinch County, Clinch County,13065,2.9
Cobb County, Cobb County,13067,18.8
Coffee County, Coffee County,13069,6.9
Colquitt County, Colquitt County,13071,12.3
Columbia County, Columbia County,13073,7.5
Cook County, Cook County,13075,2.7
Coweta County, Coweta County,13077,6.6
Crawford County, Crawford County,13079,2.1
Crisp County, Crisp County,13081,2.8
Dade County, Dade County,13083,2.2
Dawson County, Dawson County,13085,2.9
Decatur County, Decatur County,13089,19.5
DeKalb County, DeKalb County,13087,2.8
Dodge County, Dodge County,13091,1.6
Dooly County, Dooly County,13093,4
Dougherty County, Dougherty County,13095,2.6
Douglas County, Douglas County,13097,9.3
Early County, Early County,13099,2.6
Echols County, Echols County,13101,8.6
Effingham County, Effingham County,13103,3
Elbert County, Elbert County,13105,2.6
Emanuel County, Emanuel County,13107,2
Evans County, Evans County,13109,3.9
Fannin County, Fannin County,13111,2
