county,CountyName,id,value
Appling County, Appling County,13001,9.3
Atkinson County, Atkinson County,13003,24.3
Bacon County, Bacon County,13005,7.1
Baker County, Baker County,13007,4.2
Baldwin County, Baldwin County,13009,2
Banks County, Banks County,13011,5.7
Barrow County, Barrow County,13013,8.7
Bartow County, Bartow County,13015,7.7
Ben Hill County, Ben Hill County,13017,5.8
Berrien County, Berrien County,13019,4.6
Bibb County, Bibb County,13021,2.8
Bleckley County, Bleckley County,13023,2.3
Brantley County, Brantley County,13025,1.9
Brooks County, Brooks County,13027,5.3
Bryan County, Bryan County,13029,4.4
Bulloch County, Bulloch County,13031,3.5
Burke County, Burke County,13033,2.6
Butts County, Butts County,13035,2.5
Calhoun County, Calhoun County,13037,3.9
Camden County, Camden County,13039,5.1
Candler County, Candler County,13043,11.2
Carroll County, Carroll County,13045,6.2
Catoosa County, Catoosa County,13047,2.3
Charlton County, Charlton County,13049,2.5
Chatham County, Chatham County,13051,5.4
Chattahoochee County, Chattahoochee County,13053,12.4
Chattooga County, Chattooga County,13055,4
Cherokee County, Cherokee County,13057,9.6
Clarke County, Clarke County,13059,10.4
Clay County, Clay County,13061,0.8
Clayton County, Clayton County,13063,13.7
Clinch County, Clinch County,13065,3.5
Cobb County, Cobb County,13067,12.3
Coffee County, Coffee County,13069,10.3
Colquitt County, Colquitt County,13071,17.1
Columbia County, Columbia County,13073,5
Cook County, Cook County,13075,5.9
Coweta County, Coweta County,13077,6.7
Crawford County, Crawford County,13079,2.4
Crisp County, Crisp County,13081,3.2
Dade County, Dade County,13083,1.8
Dawson County, Dawson County,13085,4.1
Decatur County, Decatur County,13089,9.8
DeKalb County, DeKalb County,13087,5
Dodge County, Dodge County,13091,3.4
Dooly County, Dooly County,13093,5.8
Dougherty County, Dougherty County,13095,2.2
Douglas County, Douglas County,13097,8.4
Early County, Early County,13099,1.6
Echols County, Echols County,13101,29.3
Effingham County, Effingham County,13103,2.9
Elbert County, Elbert County,13105,4.8
Emanuel County, Emanuel County,13107,4.1
Evans County, Evans County,13109,13.1
Fannin County, Fannin County,13111,1.8
Fayette County, Fayette County,13113,6.3
Floyd County, Floyd County,13115,9.3
Forsyth County, Forsyth County,13117,9.4
Franklin County, Franklin County,13119,3.9
Fulton County, Fulton County,13121,7.9
Gilmer County, Gilmer County,13123,9.5
Glascock County, Glascock County,13125,1.1
