county,CountyName,id,value
Appling County, Appling County,13001,0.5
Atkinson County, Atkinson County,13003,0.49
Bacon County, Bacon County,13005,0.51
Baker County, Baker County,13007,0.51
Baldwin County, Baldwin County,13009,0.49
Banks County, Banks County,13011,0.49
Barrow County, Barrow County,13013,0.51
Bartow County, Bartow County,13015,0.51
Ben Hill County, Ben Hill County,13017,0.52
Berrien County, Berrien County,13019,0.5
Bibb County, Bibb County,13021,0.53
Bleckley County, Bleckley County,13023,0.52
Brantley County, Brantley County,13025,0.5
Brooks County, Brooks County,13027,0.51
Bryan County, Bryan County,13029,0.5
Bulloch County, Bulloch County,13031,0.51
Burke County, Burke County,13033,0.52
Butts County, Butts County,13035,0.47
Calhoun County, Calhoun County,13037,0.39
Camden County, Camden County,13039,0.49
Candler County, Candler County,13043,0.51
Carroll County, Carroll County,13045,0.51
Catoosa County, Catoosa County,13047,0.52
Charlton County, Charlton County,13049,0.43
Chatham County, Chatham County,13051,0.52
Chattahoochee County, Chattahoochee County,13053,0.35
Chattooga County, Chattooga County,13055,0.49
Cherokee County, Cherokee County,13057,0.51
Clarke County, Clarke County,13059,0.52
Clay County, Clay County,13061,0.53
Clayton County, Clayton County,13063,0.53
Clinch County, Clinch County,13065,0.51
Cobb County, Cobb County,13067,0.52
Coffee County, Coffee County,13069,0.49
Colquitt County, Colquitt County,13071,0.5
Columbia County, Columbia County,13073,0.51
Cook County, Cook County,13075,0.52
Coweta County, Coweta County,13077,0.51
Crawford County, Crawford County,13079,0.5
Crisp County, Crisp County,13081,0.53
Dade County, Dade County,13083,0.51
Dawson County, Dawson County,13085,0.5
Decatur County, Decatur County,13089,0.53
DeKalb County, DeKalb County,13087,0.52
Dodge County, Dodge County,13091,0.48
Dooly County, Dooly County,13093,0.46
Dougherty County, Dougherty County,13095,0.54
Douglas County, Douglas County,13097,0.53
Early County, Early County,13099,0.54
Echols County, Echols County,13101,0.49
Effingham County, Effingham County,13103,0.5
Elbert County, Elbert County,13105,0.52
Emanuel County, Emanuel County,13107,0.51
Evans County, Evans County,13109,0.51
Fannin County, Fannin County,13111,0.51
Fayette County, Fayette County,13113,0.51
Floyd County, Floyd County,13115,0.52
Forsyth County, Forsyth County,13117,0.5
Franklin County, Franklin County,13119,0.51
Fulton County, Fulton County,13121,0.52
Gilmer County, Gilmer County,13123,0.5
Glascock County, Glascock County,13125,0.51
Glynn County, Glynn County,13127,0.53
Gordon County, Gordon County,13129,0.51
Grady County, Grady County,13131,0.52
Greene County, Greene County,13133,0.52
Gwinnett County, Gwinnett County,13135,0.51
Habersham County, Habersham County,13137,0.53
Hall County, Hall County,13139,0.5
Hancock County, Hancock County,13141,0.45
Haralson County, Haralson County,13143,0.51
Harris County, Harris County,13145,0.5
Hart County, Hart County,13147,0.51
Heard County, Heard County,13149,0.5
Henry County, Henry County,13151,0.52
Houston County, Houston County,13153,0.52
Irwin County, Irwin County,13155,0.48
Jackson County, Jackson County,13157,0.51
Jasper County, Jasper County,13159,0.51
Jeff Davis County, Jeff Davis County,13161,0.51
Jefferson County, Jefferson County,13163,0.52
Jenkins County, Jenkins County,13165,0.46
Johnson County, Johnson County,13167,0.44
Jones County, Jones County,13169,0.52
Lamar County, Lamar County,13171,0.52
Lanier County, Lanier County,13173,0.5
Laurens County, Laurens County,13175,0.53
Lee County, Lee County,13177,0.5
Liberty County, Liberty County,13179,0.49
Lincoln County, Lincoln County,13181,0.51
Long County, Long County,13183,0.5
Lowndes County, Lowndes County,13185,0.51
Lumpkin County, Lumpkin County,13187,0.5
Macon County, Macon County,13193,0.46
Madison County, Madison County,13195,0.51
Marion County, Marion County,13197,0.5
McDuffie County, McDuffie County,13189,0.53
McIntosh County, McIntosh County,13191,0.51
Meriwether County, Meriwether County,13199,0.52
Miller County, Miller County,13201,0.52
Mitchell County, Mitchell County,13205,0.48
Monroe County, Monroe County,13207,0.5
Montgomery County, Montgomery County,13209,0.48
Morgan County, Morgan County,13211,0.52
Murray County, Murray County,13213,0.51
Muscogee County, Muscogee County,13215,0.51
Newton County, Newton County,13217,0.53
Oconee County, Oconee County,13219,0.51
Oglethorpe County, Oglethorpe County,13221,0.51
Paulding County, Paulding County,13223,0.51
Peach County, Peach County,13225,0.52
Pickens County, Pickens County,13227,0.51
Pierce County, Pierce County,13229,0.51
Pike County, Pike County,13231,0.51
Polk County, Polk County,13233,0.51
Pulaski County, Pulaski County,13235,0.57
Putnam County, Putnam County,13237,0.51
Quitman County, Quitman County,13239,0.52
Rabun County, Rabun County,13241,0.51
Randolph County, Randolph County,13243,0.54
Richmond County, Richmond County,13245,0.52
Rockdale County, Rockdale County,13247,0.53
Schley County, Schley County,13249,0.52
Screven County, Screven County,13251,0.51
Seminole County, Seminole County,13253,0.52
Spalding County, Spalding County,13255,0.52
Stephens County, Stephens County,13257,0.52
Stewart County, Stewart County,13259,0.36
Sumter County, Sumter County,13261,0.53
Talbot County, Talbot County,13263,0.52
Taliaferro County, Taliaferro County,13265,0.5
Tattnall County, Tattnall County,13267,0.43
Taylor County, Taylor County,13269,0.52
Telfair County, Telfair County,13271,0.41
Terrell County, Terrell County,13273,0.52
Thomas County, Thomas County,13275,0.53
Tift County, Tift County,13277,0.52
Toombs County, Toombs County,13279,0.53
Towns County, Towns County,13281,0.52
Treutlen County, Treutlen County,13283,0.5
Troup County, Troup County,13285,0.52
Turner County, Turner County,13287,0.51
Twiggs County, Twiggs County,13289,0.51
Union County, Union County,13291,0.52
Upson County, Upson County,13293,0.53
Walker County, Walker County,13295,0.51
Walton County, Walton County,13297,0.51
Ware County, Ware County,13299,0.5
Warren County, Warren County,13301,0.53
Washington County, Washington County,13303,0.5
Wayne County, Wayne County,13305,0.49
Webster County, Webster County,13307,0.5
Wheeler County, Wheeler County,13309,0.35
White County, White County,13311,0.51
Whitfield County, Whitfield County,13313,0.5
Wilcox County, Wilcox County,13315,0.4
Wilkes County, Wilkes County,13317,0.52
Wilkinson County, Wilkinson County,13319,0.52
Worth County, Worth County,13321,0.52
,,unit,%-.1f
