county,CountyName,id,value
Appling County, Appling County,13001,18.41
Atkinson County, Atkinson County,13003,8.268
Bacon County, Bacon County,13005,11.251
Baker County, Baker County,13007,3.25
Baldwin County, Baldwin County,13009,45.808
Banks County, Banks County,13011,18.336
Barrow County, Barrow County,13013,73.34
Bartow County, Bartow County,13015,101.942
Ben Hill County, Ben Hill County,13017,17.405
Berrien County, Berrien County,13019,18.986
Bibb County, Bibb County,13021,154.194
Bleckley County, Bleckley County,13023,12.835
Brantley County, Brantley County,13025,18.403
Brooks County, Brooks County,13027,15.645
Bryan County, Bryan County,13029,34.104
Bulloch County, Bulloch County,13031,73.141
Burke County, Burke County,13033,22.838
Butts County, Butts County,13035,23.479
Calhoun County, Calhoun County,13037,6.443
Camden County, Camden County,13039,52.092
Candler County, Candler County,13043,10.962
Carroll County, Carroll County,13045,113.756
Catoosa County, Catoosa County,13047,65.645
Charlton County, Charlton County,13049,12.968
Chatham County, Chatham County,13051,282.613
Chattahoochee County, Chattahoochee County,13053,11.882
Chattooga County, Chattooga County,13055,25.046
Cherokee County, Cherokee County,13057,230.629
Clarke County, Clarke County,13059,122.037
Clay County, Clay County,13061,3.068
Clayton County, Clayton County,13063,270.269
Clinch County, Clinch County,13065,6.814
Cobb County, Cobb County,13067,728.388
Coffee County, Coffee County,13069,43.042
Colquitt County, Colquitt County,13071,46.002
Columbia County, Columbia County,13073,139.904
Cook County, Cook County,13075,17.103
Coweta County, Coweta County,13077,135.625
Crawford County, Crawford County,13079,12.483
Crisp County, Crisp County,13081,23.061
Dade County, Dade County,13083,16.356
Dawson County, Dawson County,13085,22.939
Decatur County, Decatur County,13089,723.902
DeKalb County, DeKalb County,13087,27.237
Dodge County, Dodge County,13091,20.995
Dooly County, Dooly County,13093,14.089
Dougherty County, Dougherty County,13095,92.326
Douglas County, Douglas County,13097,138.283
Early County, Early County,13099,10.48
Echols County, Echols County,13101,4.025
Effingham County, Effingham County,13103,55.852
Elbert County, Elbert County,13105,19.394
Emanuel County, Emanuel County,13107,22.723
Evans County, Evans County,13109,10.733
Fannin County, Fannin County,13111,24.017
Fayette County, Fayette County,13113,109.495
Floyd County, Floyd County,13115,96.199
Forsyth County, Forsyth County,13117,203.841
Franklin County, Franklin County,13119,22.188
Fulton County, Fulton County,13121,996.757
Gilmer County, Gilmer County,13123,28.956
Glascock County, Glascock County,13125,3.053
Glynn County, Glynn County,13127,82.623
Gordon County, Gordon County,13129,56.079
Grady County, Grady County,13131,25.145
Greene County, Greene County,13133,16.535
Gwinnett County, Gwinnett County,13135,874.242
Habersham County, Habersham County,13137,43.724
Hall County, Hall County,13139,190.482
Hancock County, Hancock County,13141,8.747
Haralson County, Haralson County,13143,28.667
Harris County, Harris County,13145,32.992
Hart County, Hart County,13147,25.518
Heard County, Heard County,13149,11.571
Henry County, Henry County,13151,214.171
Houston County, Houston County,13153,149.137
Irwin County, Irwin County,13155,9.365
Jackson County, Jackson County,13157,62.131
Jasper County, Jasper County,13159,13.571
Jeff Davis County, Jeff Davis County,13161,14.953
Jefferson County, Jefferson County,13163,16.201
Jenkins County, Jenkins County,13165,9.055
Johnson County, Johnson County,13167,9.694
Jones County, Jones County,13169,28.701
Lamar County, Lamar County,13171,18.195
Lanier County, Lanier County,13173,10.382
Laurens County, Laurens County,13175,47.802
Lee County, Lee County,13177,29.134
Liberty County, Liberty County,13179,63.949
Lincoln County, Lincoln County,13181,7.712
Long County, Long County,13183,17.243
Lowndes County, Lowndes County,13185,113.898
Lumpkin County, Lumpkin County,13187,31.094
Macon County, Macon County,13193,13.846
Madison County, Madison County,13195,28.362
Marion County, Marion County,13197,8.646
McDuffie County, McDuffie County,13189,21.558
McIntosh County, McIntosh County,13191,13.941
Meriwether County, Meriwether County,13199,21.195
Miller County, Miller County,13201,5.911
Mitchell County, Mitchell County,13205,22.778
Monroe County, Monroe County,13207,27.044
Montgomery County, Montgomery County,13209,9.005
Morgan County, Morgan County,13211,17.943
Murray County, Murray County,13213,39.358
Muscogee County, Muscogee County,13215,200.303
Newton County, Newton County,13217,103.901
Oconee County, Oconee County,13219,35.071
Oglethorpe County, Oglethorpe County,13221,14.743
Paulding County, Paulding County,13223,149.83
Peach County, Peach County,13225,26.907
Pickens County, Pickens County,13227,29.992
Pierce County, Pierce County,13229,19.03
Pike County, Pike County,13231,17.843
Polk County, Polk County,13233,41.263
Pulaski County, Pulaski County,13235,11.46
Putnam County, Putnam County,13237,21.259
Quitman County, Quitman County,13239,2.095
Rabun County, Rabun County,13241,16.312
Randolph County, Randolph County,13243,7.224
Richmond County, Richmond County,13245,201.418
Rockdale County, Rockdale County,13247,87.569
Schley County, Schley County,13249,5.089
Screven County, Screven County,13251,14.114
Seminole County, Seminole County,13253,8.696
Spalding County, Spalding County,13255,64.006
Stephens County, Stephens County,13257,25.584
Stewart County, Stewart County,13259,5.791
Sumter County, Sumter County,13261,31.07
Talbot County, Talbot County,13263,6.373
Taliaferro County, Taliaferro County,13265,1.904
Tattnall County, Tattnall County,13267,25.26
Taylor County, Taylor County,13269,8.354
Telfair County, Telfair County,13271,16.405
Terrell County, Terrell County,13273,9.132
Thomas County, Thomas County,13275,44.977
Tift County, Tift County,13277,40.691
Toombs County, Toombs County,13279,27.16
Towns County, Towns County,13281,10.976
Treutlen County, Treutlen County,13283,6.711
Troup County, Troup County,13285,69.314
Turner County, Turner County,13287,8.151
Twiggs County, Twiggs County,13289,8.363
Union County, Union County,13291,22.033
Upson County, Upson County,13293,26.394
Walker County, Walker County,13295,68.143
Walton County, Walton County,13297,87.436
Ware County, Ware County,13299,35.671
Warren County, Warren County,13301,5.504
Washington County, Washington County,13303,20.68
Wayne County, Wayne County,13305,30.006
Webster County, Webster County,13307,2.672
Wheeler County, Wheeler County,13309,7.932
White County, White County,13311,28.14
Whitfield County, Whitfield County,13313,103.653
Wilcox County, Wilcox County,13315,8.884
Wilkes County, Wilkes County,13317,9.924
Wilkinson County, Wilkinson County,13319,9.312
Worth County, Worth County,13321,20.988
,,unit,thousand-.1f
