county,CountyName,id,value
Appling County, Appling County,13001,0.09
Atkinson County, Atkinson County,13003,0.12
Bacon County, Bacon County,13005,0.1
Baker County, Baker County,13007,0.11
Baldwin County, Baldwin County,13009,0.2
Banks County, Banks County,13011,0.13
Barrow County, Barrow County,13013,0.12
Bartow County, Bartow County,13015,0.13
Ben Hill County, Ben Hill County,13017,0.16
Berrien County, Berrien County,13019,0.11
Bibb County, Bibb County,13021,0.19
Bleckley County, Bleckley County,13023,0.14
Brantley County, Brantley County,13025,0.1
Brooks County, Brooks County,13027,0.14
Bryan County, Bryan County,13029,0.16
Bulloch County, Bulloch County,13031,0.21
Burke County, Burke County,13033,0.12
Butts County, Butts County,13035,0.13
Calhoun County, Calhoun County,13037,0.15
Camden County, Camden County,13039,0.12
Candler County, Candler County,13043,0.17
Carroll County, Carroll County,13045,0.14
Catoosa County, Catoosa County,13047,0.1
Charlton County, Charlton County,13049,0.11
Chatham County, Chatham County,13051,0.18
Chattahoochee County, Chattahoochee County,13053,0.17
Chattooga County, Chattooga County,13055,0.1
Cherokee County, Cherokee County,13057,0.12
Clarke County, Clarke County,13059,0.25
Clay County, Clay County,13061,0.18
Clayton County, Clayton County,13063,0.19
Clinch County, Clinch County,13065,0.16
Cobb County, Cobb County,13067,0.13
Coffee County, Coffee County,13069,0.13
Colquitt County, Colquitt County,13071,0.16
Columbia County, Columbia County,13073,0.09
Cook County, Cook County,13075,0.15
Coweta County, Coweta County,13077,0.12
Crawford County, Crawford County,13079,0.13
Crisp County, Crisp County,13081,0.18
Dade County, Dade County,13083,0.13
Dawson County, Dawson County,13085,0.12
Decatur County, Decatur County,13089,0.17
DeKalb County, DeKalb County,13087,0.13
Dodge County, Dodge County,13091,0.09
Dooly County, Dooly County,13093,0.14
Dougherty County, Dougherty County,13095,0.21
Douglas County, Douglas County,13097,0.14
Early County, Early County,13099,0.15
Echols County, Echols County,13101,0.14
Effingham County, Effingham County,13103,0.1
Elbert County, Elbert County,13105,0.16
Emanuel County, Emanuel County,13107,0.13
Evans County, Evans County,13109,0.15
Fannin County, Fannin County,13111,0.12
Fayette County, Fayette County,13113,0.11
Floyd County, Floyd County,13115,0.14
Forsyth County, Forsyth County,13117,0.09
Franklin County, Franklin County,13119,0.14
Fulton County, Fulton County,13121,0.17
Gilmer County, Gilmer County,13123,0.12
Glascock County, Glascock County,13125,0.08
Glynn County, Glynn County,13127,0.16
Gordon County, Gordon County,13129,0.13
Grady County, Grady County,13131,0.13
Greene County, Greene County,13133,0.17
Gwinnett County, Gwinnett County,13135,0.15
Habersham County, Habersham County,13137,0.13
Hall County, Hall County,13139,0.12
Hancock County, Hancock County,13141,0.2
Haralson County, Haralson County,13143,0.13
Harris County, Harris County,13145,0.09
Hart County, Hart County,13147,0.15
Heard County, Heard County,13149,0.1
Henry County, Henry County,13151,0.15
Houston County, Houston County,13153,0.12
Irwin County, Irwin County,13155,0.11
Jackson County, Jackson County,13157,0.12
Jasper County, Jasper County,13159,0.16
Jeff Davis County, Jeff Davis County,13161,0.1
Jefferson County, Jefferson County,13163,0.18
Jenkins County, Jenkins County,13165,0.17
Johnson County, Johnson County,13167,0.13
Jones County, Jones County,13169,0.1
Lamar County, Lamar County,13171,0.15
Lanier County, Lanier County,13173,0.23
Laurens County, Laurens County,13175,0.13
Lee County, Lee County,13177,0.1
Liberty County, Liberty County,13179,0.16
Lincoln County, Lincoln County,13181,0.14
Long County, Long County,13183,0.12
Lowndes County, Lowndes County,13185,0.17
Lumpkin County, Lumpkin County,13187,0.15
Macon County, Macon County,13193,0.17
Madison County, Madison County,13195,0.13
Marion County, Marion County,13197,0.09
McDuffie County, McDuffie County,13189,0.15
McIntosh County, McIntosh County,13191,0.16
Meriwether County, Meriwether County,13199,0.18
Miller County, Miller County,13201,0.13
Mitchell County, Mitchell County,13205,0.15
Monroe County, Monroe County,13207,0.13
Montgomery County, Montgomery County,13209,0.12
Morgan County, Morgan County,13211,0.12
Murray County, Murray County,13213,0.1
Muscogee County, Muscogee County,13215,0.19
Newton County, Newton County,13217,0.16
Oconee County, Oconee County,13219,0.09
Oglethorpe County, Oglethorpe County,13221,0.15
Paulding County, Paulding County,13223,0.12
Peach County, Peach County,13225,0.14
Pickens County, Pickens County,13227,0.1
Pierce County, Pierce County,13229,0.1
Pike County, Pike County,13231,0.15
Polk County, Polk County,13233,0.14
Pulaski County, Pulaski County,13235,0.15
Putnam County, Putnam County,13237,0.14
Quitman County, Quitman County,13239,0.19
Rabun County, Rabun County,13241,0.14
Randolph County, Randolph County,13243,0.15
Richmond County, Richmond County,13245,0.19
Rockdale County, Rockdale County,13247,0.15
Schley County, Schley County,13249,0.14
Screven County, Screven County,13251,0.14
Seminole County, Seminole County,13253,0.16
Spalding County, Spalding County,13255,0.17
Stephens County, Stephens County,13257,0.14
Stewart County, Stewart County,13259,0.21
Sumter County, Sumter County,13261,0.18
Talbot County, Talbot County,13263,0.14
Taliaferro County, Taliaferro County,13265,0.16
Tattnall County, Tattnall County,13267,0.13
Taylor County, Taylor County,13269,0.13
Telfair County, Telfair County,13271,0.08
Terrell County, Terrell County,13273,0.22
Thomas County, Thomas County,13275,0.18
Tift County, Tift County,13277,0.14
Toombs County, Toombs County,13279,0.13
Towns County, Towns County,13281,0.18
Treutlen County, Treutlen County,13283,0.13
Troup County, Troup County,13285,0.17
Turner County, Turner County,13287,0.14
Twiggs County, Twiggs County,13289,0.14
Union County, Union County,13291,0.1
Upson County, Upson County,13293,0.14
Walker County, Walker County,13295,0.11
Walton County, Walton County,13297,0.13
Ware County, Ware County,13299,0.14
Warren County, Warren County,13301,0.19
Washington County, Washington County,13303,0.18
Wayne County, Wayne County,13305,0.12
Webster County, Webster County,13307,0.11
Wheeler County, Wheeler County,13309,0.1
White County, White County,13311,0.13
Whitfield County, Whitfield County,13313,0.12
Wilcox County, Wilcox County,13315,0.11
Wilkes County, Wilkes County,13317,0.16
Wilkinson County, Wilkinson County,13319,0.11
Worth County, Worth County,13321,0.14
,,unit,%-.1f
