county,CountyName,id,value
Appling County, Appling County,13001,0.28
Atkinson County, Atkinson County,13003,0
Bacon County, Bacon County,13005,0.61
Baker County, Baker County,13007,0.06
Baldwin County, Baldwin County,13009,0.63
Banks County, Banks County,13011,0.37
Barrow County, Barrow County,13013,0.67
Bartow County, Bartow County,13015,0.67
Ben Hill County, Ben Hill County,13017,0.39
Berrien County, Berrien County,13019,0.42
Bibb County, Bibb County,13021,0.76
Bleckley County, Bleckley County,13023,0.78
Brantley County, Brantley County,13025,0.3
Brooks County, Brooks County,13027,0.24
Bryan County, Bryan County,13029,0.83
Bulloch County, Bulloch County,13031,0.34
Burke County, Burke County,13033,0.47
Butts County, Butts County,13035,0.64
Calhoun County, Calhoun County,13037,0
Camden County, Camden County,13039,0.61
Candler County, Candler County,13043,0.59
Carroll County, Carroll County,13045,0.48
Catoosa County, Catoosa County,13047,0.75
Charlton County, Charlton County,13049,0.73
Chatham County, Chatham County,13051,0.87
Chattahoochee County, Chattahoochee County,13053,0.94
Chattooga County, Chattooga County,13055,0.49
Cherokee County, Cherokee County,13057,0.94
Clarke County, Clarke County,13059,0.8
Clay County, Clay County,13061,0.31
Clayton County, Clayton County,13063,0.76
Clinch County, Clinch County,13065,0.05
Cobb County, Cobb County,13067,0.92
Coffee County, Coffee County,13069,0.55
Colquitt County, Colquitt County,13071,0.65
Columbia County, Columbia County,13073,0.85
Cook County, Cook County,13075,0.66
Coweta County, Coweta County,13077,0.56
Crawford County, Crawford County,13079,0.05
Crisp County, Crisp County,13081,0.51
Dade County, Dade County,13083,0.67
Dawson County, Dawson County,13085,0.96
Decatur County, Decatur County,13089,0.94
DeKalb County, DeKalb County,13087,0.62
Dodge County, Dodge County,13091,0.53
Dooly County, Dooly County,13093,0.21
Dougherty County, Dougherty County,13095,0.77
Douglas County, Douglas County,13097,0.79
Early County, Early County,13099,0.59
Echols County, Echols County,13101,0
Effingham County, Effingham County,13103,0.71
Elbert County, Elbert County,13105,0.6
Emanuel County, Emanuel County,13107,0.47
Evans County, Evans County,13109,0.66
Fannin County, Fannin County,13111,0.88
Fayette County, Fayette County,13113,0.86
Floyd County, Floyd County,13115,0.7
Forsyth County, Forsyth County,13117,0.89
Franklin County, Franklin County,13119,0.44
Fulton County, Fulton County,13121,0.95
Gilmer County, Gilmer County,13123,0.87
Glascock County, Glascock County,13125,0.01
Glynn County, Glynn County,13127,0.78
Gordon County, Gordon County,13129,0.53
Grady County, Grady County,13131,0.61
Greene County, Greene County,13133,0.6
Gwinnett County, Gwinnett County,13135,0.85
Habersham County, Habersham County,13137,0.7
Hall County, Hall County,13139,0.72
Hancock County, Hancock County,13141,0.09
Haralson County, Haralson County,13143,0.34
Harris County, Harris County,13145,0.32
Hart County, Hart County,13147,0.74
Heard County, Heard County,13149,0.25
Henry County, Henry County,13151,0.77
Houston County, Houston County,13153,0.79
Irwin County, Irwin County,13155,0.49
Jackson County, Jackson County,13157,0.29
Jasper County, Jasper County,13159,0.7
Jeff Davis County, Jeff Davis County,13161,0.68
Jefferson County, Jefferson County,13163,0.51
Jenkins County, Jenkins County,13165,0.57
Johnson County, Johnson County,13167,0
Jones County, Jones County,13169,0.74
Lamar County, Lamar County,13171,0.52
Lanier County, Lanier County,13173,0.31
Laurens County, Laurens County,13175,0.54
Lee County, Lee County,13177,0.35
Liberty County, Liberty County,13179,0.7
Lincoln County, Lincoln County,13181,0.88
Long County, Long County,13183,0.15
Lowndes County, Lowndes County,13185,0.73
Lumpkin County, Lumpkin County,13187,0.84
Macon County, Macon County,13193,0.45
Madison County, Madison County,13195,0.04
Marion County, Marion County,13197,0.03
McDuffie County, McDuffie County,13189,0.64
McIntosh County, McIntosh County,13191,0.61
Meriwether County, Meriwether County,13199,0.39
Miller County, Miller County,13201,0.27
Mitchell County, Mitchell County,13205,0.65
Monroe County, Monroe County,13207,0.72
Montgomery County, Montgomery County,13209,0.24
Morgan County, Morgan County,13211,0.34
Murray County, Murray County,13213,0.86
Muscogee County, Muscogee County,13215,0.89
Newton County, Newton County,13217,0.73
Oconee County, Oconee County,13219,0.82
Oglethorpe County, Oglethorpe County,13221,0.34
Paulding County, Paulding County,13223,0.84
Peach County, Peach County,13225,0.7
Pickens County, Pickens County,13227,0.69
Pierce County, Pierce County,13229,0.7
Pike County, Pike County,13231,0.52
Polk County, Polk County,13233,0.81
Pulaski County, Pulaski County,13235,0.8
Putnam County, Putnam County,13237,0.64
Quitman County, Quitman County,13239,0.49
Rabun County, Rabun County,13241,1
Randolph County, Randolph County,13243,0
Richmond County, Richmond County,13245,0.73
Rockdale County, Rockdale County,13247,0.83
Schley County, Schley County,13249,0.65
Screven County, Screven County,13251,0.53
Seminole County, Seminole County,13253,0.45
Spalding County, Spalding County,13255,0.79
Stephens County, Stephens County,13257,0.8
Stewart County, Stewart County,13259,0.05
Sumter County, Sumter County,13261,0.58
Talbot County, Talbot County,13263,0.06
Taliaferro County, Taliaferro County,13265,0.35
Tattnall County, Tattnall County,13267,0.4
Taylor County, Taylor County,13269,0.59
Telfair County, Telfair County,13271,0.59
Terrell County, Terrell County,13273,0.64
Thomas County, Thomas County,13275,0.46
Tift County, Tift County,13277,0.78
Toombs County, Toombs County,13279,0.72
Towns County, Towns County,13281,1
Treutlen County, Treutlen County,13283,0.48
Troup County, Troup County,13285,0.74
Turner County, Turner County,13287,0.21
Twiggs County, Twiggs County,13289,0.1
Union County, Union County,13291,0.94
Upson County, Upson County,13293,0.74
Walker County, Walker County,13295,0.59
Walton County, Walton County,13297,0.7
Ware County, Ware County,13299,0.74
Warren County, Warren County,13301,0.08
Washington County, Washington County,13303,0.28
Wayne County, Wayne County,13305,0.34
Webster County, Webster County,13307,0
Wheeler County, Wheeler County,13309,0.11
White County, White County,13311,0.74
Whitfield County, Whitfield County,13313,0.69
Wilcox County, Wilcox County,13315,0.21
Wilkes County, Wilkes County,13317,0.59
Wilkinson County, Wilkinson County,13319,0.02
Worth County, Worth County,13321,0.52
,,unit,%-.1f
