county,CountyName,id,value
Appling County, Appling County,13001,7.5
Atkinson County, Atkinson County,13003,7.3
Bacon County, Bacon County,13005,7.8
Baker County, Baker County,13007,5
Baldwin County, Baldwin County,13009,5.8
Banks County, Banks County,13011,8.7
Barrow County, Barrow County,13013,8.4
Bartow County, Bartow County,13015,7.3
Ben Hill County, Ben Hill County,13017,5.4
Berrien County, Berrien County,13019,7
Bibb County, Bibb County,13021,5.6
Bleckley County, Bleckley County,13023,7.3
Brantley County, Brantley County,13025,8.1
Brooks County, Brooks County,13027,7.2
Bryan County, Bryan County,13029,8.1
Bulloch County, Bulloch County,13031,6.7
Burke County, Burke County,13033,6.2
Butts County, Butts County,13035,7.6
Calhoun County, Calhoun County,13037,5.9
Camden County, Camden County,13039,7
Candler County, Candler County,13043,7.4
Carroll County, Carroll County,13045,7.1
Catoosa County, Catoosa County,13047,7.9
Charlton County, Charlton County,13049,7.3
Chatham County, Chatham County,13051,6.9
Chattahoochee County, Chattahoochee County,13053,4.4
Chattooga County, Chattooga County,13055,7.8
Cherokee County, Cherokee County,13057,8.7
Clarke County, Clarke County,13059,4.9
Clay County, Clay County,13061,0.4
Clayton County, Clayton County,13063,5
Clinch County, Clinch County,13065,6.7
Cobb County, Cobb County,13067,7.7
Coffee County, Coffee County,13069,7.1
Colquitt County, Colquitt County,13071,7.3
Columbia County, Columbia County,13073,8.7
Cook County, Cook County,13075,7.1
Coweta County, Coweta County,13077,8.1
Crawford County, Crawford County,13079,8
Crisp County, Crisp County,13081,6.1
Dade County, Dade County,13083,8.5
Dawson County, Dawson County,13085,9
Decatur County, Decatur County,13089,6.4
DeKalb County, DeKalb County,13087,6.4
Dodge County, Dodge County,13091,7.3
Dooly County, Dooly County,13093,7.1
Dougherty County, Dougherty County,13095,3.8
Douglas County, Douglas County,13097,6.6
Early County, Early County,13099,6
Echols County, Echols County,13101,8.5
Effingham County, Effingham County,13103,8.4
Elbert County, Elbert County,13105,6.5
Emanuel County, Emanuel County,13107,5.7
Evans County, Evans County,13109,7.5
Fannin County, Fannin County,13111,8.6
Fayette County, Fayette County,13113,8.5
Floyd County, Floyd County,13115,7.4
Forsyth County, Forsyth County,13117,9.4
Franklin County, Franklin County,13119,8
Fulton County, Fulton County,13121,6.8
Gilmer County, Gilmer County,13123,8.5
Glascock County, Glascock County,13125,6
Glynn County, Glynn County,13127,7
Gordon County, Gordon County,13129,7.8
Grady County, Grady County,13131,6.8
Greene County, Greene County,13133,7.4
Gwinnett County, Gwinnett County,13135,8
Habersham County, Habersham County,13137,8
Hall County, Hall County,13139,8.3
Hancock County, Hancock County,13141,4.8
Haralson County, Haralson County,13143,8.1
Harris County, Harris County,13145,8.9
Hart County, Hart County,13147,7.4
Heard County, Heard County,13149,8
Henry County, Henry County,13151,7.2
Houston County, Houston County,13153,6.9
Irwin County, Irwin County,13155,7
Jackson County, Jackson County,13157,8.8
Jasper County, Jasper County,13159,7.2
Jeff Davis County, Jeff Davis County,13161,7.8
Jefferson County, Jefferson County,13163,6.3
Jenkins County, Jenkins County,13165,6.8
Johnson County, Johnson County,13167,7.1
Jones County, Jones County,13169,8.1
Lamar County, Lamar County,13171,7.3
Lanier County, Lanier County,13173,7.2
Laurens County, Laurens County,13175,6.5
Lee County, Lee County,13177,8.2
Liberty County, Liberty County,13179,5.5
Lincoln County, Lincoln County,13181,7.2
Long County, Long County,13183,7.9
Lowndes County, Lowndes County,13185,6.2
Lumpkin County, Lumpkin County,13187,8.3
Macon County, Macon County,13193,5.3
Madison County, Madison County,13195,8.5
Marion County, Marion County,13197,7.2
McDuffie County, McDuffie County,13189,6.5
McIntosh County, McIntosh County,13191,7.4
Meriwether County, Meriwether County,13199,6.9
Miller County, Miller County,13201,7.3
Mitchell County, Mitchell County,13205,6
Monroe County, Monroe County,13207,8
Montgomery County, Montgomery County,13209,7
Morgan County, Morgan County,13211,7.8
Murray County, Murray County,13213,8
Muscogee County, Muscogee County,13215,6
Newton County, Newton County,13217,6.6
Oconee County, Oconee County,13219,8.8
Oglethorpe County, Oglethorpe County,13221,8.2
Paulding County, Paulding County,13223,8.2
Peach County, Peach County,13225,6.6
Pickens County, Pickens County,13227,9
Pierce County, Pierce County,13229,8
Pike County, Pike County,13231,8.8
Polk County, Polk County,13233,7.9
Pulaski County, Pulaski County,13235,7
Putnam County, Putnam County,13237,7.9
Quitman County, Quitman County,13239,5.1
Rabun County, Rabun County,13241,8.5
Randolph County, Randolph County,13243,4.7
Richmond County, Richmond County,13245,5
Rockdale County, Rockdale County,13247,6.3
Schley County, Schley County,13249,7.7
Screven County, Screven County,13251,6.2
Seminole County, Seminole County,13253,7.4
Spalding County, Spalding County,13255,6.7
Stephens County, Stephens County,13257,7.5
Stewart County, Stewart County,13259,6.2
Sumter County, Sumter County,13261,5.2
Talbot County, Talbot County,13263,6
Taliaferro County, Taliaferro County,13265,2.6
Tattnall County, Tattnall County,13267,7.5
Taylor County, Taylor County,13269,6.7
Telfair County, Telfair County,13271,7
Terrell County, Terrell County,13273,5.7
Thomas County, Thomas County,13275,6.1
Tift County, Tift County,13277,7.1
Toombs County, Toombs County,13279,6.6
Towns County, Towns County,13281,8.7
Treutlen County, Treutlen County,13283,7.4
Troup County, Troup County,13285,6.8
Turner County, Turner County,13287,6.7
Twiggs County, Twiggs County,13289,6.8
Union County, Union County,13291,8.9
Upson County, Upson County,13293,6.2
Walker County, Walker County,13295,7.3
Walton County, Walton County,13297,8.1
Ware County, Ware County,13299,5.7
Warren County, Warren County,13301,6.4
Washington County, Washington County,13303,5.7
Wayne County, Wayne County,13305,6.5
Webster County, Webster County,13307,6.9
Wheeler County, Wheeler County,13309,6.5
White County, White County,13311,
Whitfield County, Whitfield County,13313,8.2
Wilcox County, Wilcox County,13315,7.5
Wilkes County, Wilkes County,13317,6
Wilkinson County, Wilkinson County,13319,6.6
Worth County, Worth County,13321,7.4
,,unit,%-.1f
