county,CountyName,id,value
Appling County, Appling County,13001,38.2
Atkinson County, Atkinson County,13003,21.7
Bacon County, Bacon County,13005,25.2
Baker County, Baker County,13007,27.9
Baldwin County, Baldwin County,13009,17.1
Banks County, Banks County,13011,33.8
Barrow County, Barrow County,13013,39.2
Bartow County, Bartow County,13015,37.1
Ben Hill County, Ben Hill County,13017,25.6
Berrien County, Berrien County,13019,39.3
Bibb County, Bibb County,13021,56.9
Bleckley County, Bleckley County,13023,31.6
Brantley County, Brantley County,13025,26.4
Brooks County, Brooks County,13027,37.3
Bryan County, Bryan County,13029,19.2
Bulloch County, Bulloch County,13031,32.1
Burke County, Burke County,13033,25.2
Butts County, Butts County,13035,34.9
Calhoun County, Calhoun County,13037,12.7
Camden County, Camden County,13039,15.9
Candler County, Candler County,13043,20.7
Carroll County, Carroll County,13045,26.3
Catoosa County, Catoosa County,13047,28.9
Charlton County, Charlton County,13049,33.4
Chatham County, Chatham County,13051,46.4
Chattahoochee County, Chattahoochee County,13053,38.3
Chattooga County, Chattooga County,13055,38.9
Cherokee County, Cherokee County,13057,29.4
Clarke County, Clarke County,13059,32
Clay County, Clay County,13061,
Clayton County, Clayton County,13063,30
Clinch County, Clinch County,13065,30.6
Cobb County, Cobb County,13067,40.9
Coffee County, Coffee County,13069,34.4
Colquitt County, Colquitt County,13071,43
Columbia County, Columbia County,13073,26
Cook County, Cook County,13075,12.2
Coweta County, Coweta County,13077,39.5
Crawford County, Crawford County,13079,43.7
Crisp County, Crisp County,13081,23
Dade County, Dade County,13083,
Dawson County, Dawson County,13085,4.2
Decatur County, Decatur County,13089,73.1
DeKalb County, DeKalb County,13087,34.4
Dodge County, Dodge County,13091,16.6
Dooly County, Dooly County,13093,4.7
Dougherty County, Dougherty County,13095,50.6
Douglas County, Douglas County,13097,29.9
Early County, Early County,13099,26.3
Echols County, Echols County,13101,33.2
Effingham County, Effingham County,13103,35.2
Elbert County, Elbert County,13105,23.5
Emanuel County, Emanuel County,13107,28.6
Evans County, Evans County,13109,28.7
Fannin County, Fannin County,13111,
Fayette County, Fayette County,13113,46.9
Floyd County, Floyd County,13115,47.5
Forsyth County, Forsyth County,13117,39.4
Franklin County, Franklin County,13119,24.4
Fulton County, Fulton County,13121,72.6
Gilmer County, Gilmer County,13123,68
Glascock County, Glascock County,13125,
Glynn County, Glynn County,13127,52.7
Gordon County, Gordon County,13129,34.1
Grady County, Grady County,13131,29.7
Greene County, Greene County,13133,39.3
Gwinnett County, Gwinnett County,13135,30
Habersham County, Habersham County,13137,32.5
Hall County, Hall County,13139,38.2
Hancock County, Hancock County,13141,22.2
Haralson County, Haralson County,13143,34.9
Harris County, Harris County,13145,20.3
Hart County, Hart County,13147,30.6
Heard County, Heard County,13149,30.9
Henry County, Henry County,13151,34.6
Houston County, Houston County,13153,21.6
Irwin County, Irwin County,13155,32.8
Jackson County, Jackson County,13157,31.9
Jasper County, Jasper County,13159,25.6
Jeff Davis County, Jeff Davis County,13161,41.9
Jefferson County, Jefferson County,13163,22.2
Jenkins County, Jenkins County,13165,7.3
Johnson County, Johnson County,13167,53.6
Jones County, Jones County,13169,32.6
Lamar County, Lamar County,13171,36.1
Lanier County, Lanier County,13173,18.5
Laurens County, Laurens County,13175,38.5
Lee County, Lee County,13177,15.1
Liberty County, Liberty County,13179,21.8
Lincoln County, Lincoln County,13181,7.2
