county,CountyName,id,value
Appling County, Appling County,13001,0.22
Atkinson County, Atkinson County,13003,0.31
Bacon County, Bacon County,13005,0.23
Baker County, Baker County,13007,0.19
Baldwin County, Baldwin County,13009,0.18
Banks County, Banks County,13011,0.21
Barrow County, Barrow County,13013,0.21
Bartow County, Bartow County,13015,0.2
Ben Hill County, Ben Hill County,13017,0.2
Berrien County, Berrien County,13019,0.21
Bibb County, Bibb County,13021,0.18
Bleckley County, Bleckley County,13023,0.17
Brantley County, Brantley County,13025,0.21
Brooks County, Brooks County,13027,0.24
Bryan County, Bryan County,13029,0.16
Bulloch County, Bulloch County,13031,0.2
Burke County, Burke County,13033,0.17
Butts County, Butts County,13035,0.17
Calhoun County, Calhoun County,13037,0.23
Camden County, Camden County,13039,0.17
Candler County, Candler County,13043,0.25
Carroll County, Carroll County,13045,0.19
Catoosa County, Catoosa County,13047,0.16
Charlton County, Charlton County,13049,0.18
Chatham County, Chatham County,13051,0.18
Chattahoochee County, Chattahoochee County,13053,0.15
Chattooga County, Chattooga County,13055,0.21
Cherokee County, Cherokee County,13057,0.17
Clarke County, Clarke County,13059,0.18
Clay County, Clay County,13061,0.21
Clayton County, Clayton County,13063,0.22
Clinch County, Clinch County,13065,0.21
Cobb County, Cobb County,13067,0.17
Coffee County, Coffee County,13069,0.23
Colquitt County, Colquitt County,13071,0.29
Columbia County, Columbia County,13073,0.12
Cook County, Cook County,13075,0.23
Coweta County, Coweta County,13077,0.14
Crawford County, Crawford County,13079,0.19
Crisp County, Crisp County,13081,0.2
Dade County, Dade County,13083,0.17
Dawson County, Dawson County,13085,0.19
Decatur County, Decatur County,13089,0.18
DeKalb County, DeKalb County,13087,0.22
Dodge County, Dodge County,13091,0.2
Dooly County, Dooly County,13093,0.21
Dougherty County, Dougherty County,13095,0.2
Douglas County, Douglas County,13097,0.18
Early County, Early County,13099,0.19
Echols County, Echols County,13101,0.34
Effingham County, Effingham County,13103,0.15
Elbert County, Elbert County,13105,0.21
Emanuel County, Emanuel County,13107,0.22
Evans County, Evans County,13109,0.23
Fannin County, Fannin County,13111,0.21
Fayette County, Fayette County,13113,0.12
Floyd County, Floyd County,13115,0.2
Forsyth County, Forsyth County,13117,0.12
Franklin County, Franklin County,13119,0.22
Fulton County, Fulton County,13121,0.15
Gilmer County, Gilmer County,13123,0.27
Glascock County, Glascock County,13125,0.16
Glynn County, Glynn County,13127,0.21
Gordon County, Gordon County,13129,0.25
Grady County, Grady County,13131,0.24
Greene County, Greene County,13133,0.22
Gwinnett County, Gwinnett County,13135,0.21
Habersham County, Habersham County,13137,0.23
Hall County, Hall County,13139,0.25
Hancock County, Hancock County,13141,0.17
Haralson County, Haralson County,13143,0.18
Harris County, Harris County,13145,0.12
Hart County, Hart County,13147,0.2
Heard County, Heard County,13149,0.19
Henry County, Henry County,13151,0.15
Houston County, Houston County,13153,0.17
Irwin County, Irwin County,13155,0.17
Jackson County, Jackson County,13157,0.18
Jasper County, Jasper County,13159,0.22
Jeff Davis County, Jeff Davis County,13161,0.24
Jefferson County, Jefferson County,13163,0.23
Jenkins County, Jenkins County,13165,0.23
Johnson County, Johnson County,13167,0.18
Jones County, Jones County,13169,0.16
Lamar County, Lamar County,13171,0.18
Lanier County, Lanier County,13173,0.21
Laurens County, Laurens County,13175,0.18
Lee County, Lee County,13177,0.15
Liberty County, Liberty County,13179,0.16
Lincoln County, Lincoln County,13181,0.2
Long County, Long County,13183,0.22
Lowndes County, Lowndes County,13185,0.19
Lumpkin County, Lumpkin County,13187,0.21
Macon County, Macon County,13193,0.23
Madison County, Madison County,13195,0.21
Marion County, Marion County,13197,0.21
McDuffie County, McDuffie County,13189,0.19
McIntosh County, McIntosh County,13191,0.18
Meriwether County, Meriwether County,13199,0.2
Miller County, Miller County,13201,0.19
Mitchell County, Mitchell County,13205,0.22
Monroe County, Monroe County,13207,0.16
Montgomery County, Montgomery County,13209,0.21
Morgan County, Morgan County,13211,0.17
Murray County, Murray County,13213,0.24
Muscogee County, Muscogee County,13215,0.15
Newton County, Newton County,13217,0.19
Oconee County, Oconee County,13219,0.12
Oglethorpe County, Oglethorpe County,13221,0.2
Paulding County, Paulding County,13223,0.15
Peach County, Peach County,13225,0.19
Pickens County, Pickens County,13227,0.18
Pierce County, Pierce County,13229,0.21
Pike County, Pike County,13231,0.17
Polk County, Polk County,13233,0.21
Pulaski County, Pulaski County,13235,0.2
Putnam County, Putnam County,13237,0.21
Quitman County, Quitman County,13239,0.21
Rabun County, Rabun County,13241,0.25
Randolph County, Randolph County,13243,0.18
Richmond County, Richmond County,13245,0.18
Rockdale County, Rockdale County,13247,0.19
Schley County, Schley County,13249,0.2
Screven County, Screven County,13251,0.2
Seminole County, Seminole County,13253,0.18
Spalding County, Spalding County,13255,0.2
Stephens County, Stephens County,13257,0.19
Stewart County, Stewart County,13259,0.22
Sumter County, Sumter County,13261,0.2
Talbot County, Talbot County,13263,0.18
Taliaferro County, Taliaferro County,13265,0.23
Tattnall County, Tattnall County,13267,0.23
Taylor County, Taylor County,13269,0.2
Telfair County, Telfair County,13271,0.19
Terrell County, Terrell County,13273,0.21
Thomas County, Thomas County,13275,0.2
Tift County, Tift County,13277,0.22
Toombs County, Toombs County,13279,0.21
Towns County, Towns County,13281,0.17
Treutlen County, Treutlen County,13283,0.18
Troup County, Troup County,13285,0.18
Turner County, Turner County,13287,0.23
Twiggs County, Twiggs County,13289,0.19
Union County, Union County,13291,0.2
Upson County, Upson County,13293,0.18
Walker County, Walker County,13295,0.18
Walton County, Walton County,13297,0.18
Ware County, Ware County,13299,0.19
Warren County, Warren County,13301,0.19
Washington County, Washington County,13303,0.17
Wayne County, Wayne County,13305,0.19
Webster County, Webster County,13307,0.19
Wheeler County, Wheeler County,13309,0.18
White County, White County,13311,0.19
Whitfield County, Whitfield County,13313,0.27
Wilcox County, Wilcox County,13315,0.21
Wilkes County, Wilkes County,13317,0.2
Wilkinson County, Wilkinson County,13319,0.17
Worth County, Worth County,13321,0.22
,,unit,-.1f
