county,CountyName,id,value
Appling County, Appling County,13001,43.4
Atkinson County, Atkinson County,13003,.
Bacon County, Bacon County,13005,44
Baker County, Baker County,13007,.
Baldwin County, Baldwin County,13009,57.6
Banks County, Banks County,13011,16.3
Barrow County, Barrow County,13013,20.7
Bartow County, Bartow County,13015,46.2
Ben Hill County, Ben Hill County,13017,46.4
Berrien County, Berrien County,13019,15.8
Bibb County, Bibb County,13021,127.7
Bleckley County, Bleckley County,13023,30.8
Brantley County, Brantley County,13025,16.3
Brooks County, Brooks County,13027,25.5
Bryan County, Bryan County,13029,82.8
Bulloch County, Bulloch County,13031,53.5
Burke County, Burke County,13033,35.3
Butts County, Butts County,13035,25.2
Calhoun County, Calhoun County,13037,15.8
Camden County, Camden County,13039,32.1
Candler County, Candler County,13043,36.7
Carroll County, Carroll County,13045,44.7
Catoosa County, Catoosa County,13047,46.7
Charlton County, Charlton County,13049,40
Chatham County, Chatham County,13051,90.6
Chattahoochee County, Chattahoochee County,13053,54.9
Chattooga County, Chattooga County,13055,8.1
Cherokee County, Cherokee County,13057,36
Clarke County, Clarke County,13059,63.3
Clay County, Clay County,13061,33.1
Clayton County, Clayton County,13063,28.3
Clinch County, Clinch County,13065,14.6
Cobb County, Cobb County,13067,71.4
Coffee County, Coffee County,13069,60.4
Colquitt County, Colquitt County,13071,43.8
Columbia County, Columbia County,13073,107.8
Cook County, Cook County,13075,58.3
Coweta County, Coweta County,13077,50.5
Crawford County, Crawford County,13079,8.1
Crisp County, Crisp County,13081,79.2
Dade County, Dade County,13083,30.8
Dawson County, Dawson County,13085,67.8
Decatur County, Decatur County,13089,107.3
DeKalb County, DeKalb County,13087,48.5
Dodge County, Dodge County,13091,38.9
Dooly County, Dooly County,13093,14.5
Dougherty County, Dougherty County,13095,82.2
Douglas County, Douglas County,13097,36.6
Early County, Early County,13099,58
Echols County, Echols County,13101,.
Effingham County, Effingham County,13103,23.8
Elbert County, Elbert County,13105,47
Emanuel County, Emanuel County,13107,48.6
Evans County, Evans County,13109,28.1
Fannin County, Fannin County,13111,60.2
Fayette County, Fayette County,13113,110.2
Floyd County, Floyd County,13115,129.5
Forsyth County, Forsyth County,13117,35.7
Franklin County, Franklin County,13119,17.9
Fulton County, Fulton County,13121,107.8
Gilmer County, Gilmer County,13123,53.8
Glascock County, Glascock County,13125,33.3
Glynn County, Glynn County,13127,52.1
Gordon County, Gordon County,13129,45.7
Grady County, Grady County,13131,44.3
Greene County, Greene County,13133,52.9
Gwinnett County, Gwinnett County,13135,61.4
Habersham County, Habersham County,13137,52
Hall County, Hall County,13139,57
Hancock County, Hancock County,13141,23.1
Haralson County, Haralson County,13143,48.2
Harris County, Harris County,13145,44.6
Hart County, Hart County,13147,39.1
Heard County, Heard County,13149,17.4
Henry County, Henry County,13151,47.3
Houston County, Houston County,13153,54.6
Irwin County, Irwin County,13155,31.8
Jackson County, Jackson County,13157,61.9
Jasper County, Jasper County,13159,29.3
Jeff Davis County, Jeff Davis County,13161,26.9
Jefferson County, Jefferson County,13163,31.4
Jenkins County, Jenkins County,13165,33.9
Johnson County, Johnson County,13167,42.1
Jones County, Jones County,13169,21
Lamar County, Lamar County,13171,43.3
Lanier County, Lanier County,13173,9.6
Laurens County, Laurens County,13175,82.1
Lee County, Lee County,13177,75
Liberty County, Liberty County,13179,35.2
