county,CountyName,id,value
Appling County, Appling County,13001,0.15
Atkinson County, Atkinson County,13003,0.14
Bacon County, Bacon County,13005,0.16
Baker County, Baker County,13007,0.14
Baldwin County, Baldwin County,13009,0.14
Banks County, Banks County,13011,0.16
Barrow County, Barrow County,13013,0.17
Bartow County, Bartow County,13015,0.16
Ben Hill County, Ben Hill County,13017,0.13
Berrien County, Berrien County,13019,0.15
Bibb County, Bibb County,13021,0.14
Bleckley County, Bleckley County,13023,0.16
Brantley County, Brantley County,13025,0.16
Brooks County, Brooks County,13027,0.14
Bryan County, Bryan County,13029,0.18
Bulloch County, Bulloch County,13031,0.17
Burke County, Burke County,13033,0.13
Butts County, Butts County,13035,0.16
Calhoun County, Calhoun County,13037,0.13
Camden County, Camden County,13039,0.19
Candler County, Candler County,13043,0.13
Carroll County, Carroll County,13045,0.17
Catoosa County, Catoosa County,13047,0.17
Charlton County, Charlton County,13049,0.17
Chatham County, Chatham County,13051,0.18
Chattahoochee County, Chattahoochee County,13053,0.23
Chattooga County, Chattooga County,13055,0.16
Cherokee County, Cherokee County,13057,0.18
Clarke County, Clarke County,13059,0.17
Clay County, Clay County,13061,0.09
Clayton County, Clayton County,13063,0.12
Clinch County, Clinch County,13065,0.14
Cobb County, Cobb County,13067,0.18
Coffee County, Coffee County,13069,0.15
Colquitt County, Colquitt County,13071,0.15
Columbia County, Columbia County,13073,0.18
Cook County, Cook County,13075,0.14
Coweta County, Coweta County,13077,0.18
Crawford County, Crawford County,13079,0.15
Crisp County, Crisp County,13081,0.12
Dade County, Dade County,13083,0.17
Dawson County, Dawson County,13085,0.18
Decatur County, Decatur County,13089,0.15
DeKalb County, DeKalb County,13087,0.13
Dodge County, Dodge County,13091,0.15
Dooly County, Dooly County,13093,0.14
Dougherty County, Dougherty County,13095,0.13
Douglas County, Douglas County,13097,0.15
Early County, Early County,13099,0.12
Echols County, Echols County,13101,0.16
Effingham County, Effingham County,13103,0.18
Elbert County, Elbert County,13105,0.14
Emanuel County, Emanuel County,13107,0.14
Evans County, Evans County,13109,0.14
Fannin County, Fannin County,13111,0.15
Fayette County, Fayette County,13113,0.16
Floyd County, Floyd County,13115,0.15
Forsyth County, Forsyth County,13117,0.18
Franklin County, Franklin County,13119,0.16
Fulton County, Fulton County,13121,0.18
Gilmer County, Gilmer County,13123,0.15
