county,CountyName,id,value
Appling County, Appling County,13001,0.07
Atkinson County, Atkinson County,13003,0.12
Bacon County, Bacon County,13005,0.05
Baker County, Baker County,13007,0.31
Baldwin County, Baldwin County,13009,0.09
Banks County, Banks County,13011,0.01
Barrow County, Barrow County,13013,0.05
Bartow County, Bartow County,13015,0.14
Ben Hill County, Ben Hill County,13017,0.13
Berrien County, Berrien County,13019,0.1
Bibb County, Bibb County,13021,0.11
Bleckley County, Bleckley County,13023,0.03
Brantley County, Brantley County,13025,0.02
Brooks County, Brooks County,13027,0.04
Bryan County, Bryan County,13029,0.06
Bulloch County, Bulloch County,13031,0.03
Burke County, Burke County,13033,0.05
Butts County, Butts County,13035,0.03
Calhoun County, Calhoun County,13037,0.06
Camden County, Camden County,13039,0.14
Candler County, Candler County,13043,0.02
Carroll County, Carroll County,13045,0.11
Catoosa County, Catoosa County,13047,0.11
Charlton County, Charlton County,13049,0.08
Chatham County, Chatham County,13051,0.07
Chattahoochee County, Chattahoochee County,13053,0.37
Chattooga County, Chattooga County,13055,0.03
Cherokee County, Cherokee County,13057,0.07
Clarke County, Clarke County,13059,0.21
Clay County, Clay County,13061,0.57
Clayton County, Clayton County,13063,0.18
Clinch County, Clinch County,13065,0.05
Cobb County, Cobb County,13067,0.1
Coffee County, Coffee County,13069,0.08
Colquitt County, Colquitt County,13071,0.09
Columbia County, Columbia County,13073,0.03
Cook County, Cook County,13075,0.06
Coweta County, Coweta County,13077,0.07
Crawford County, Crawford County,13079,0
Crisp County, Crisp County,13081,0.06
Dade County, Dade County,13083,0.02
Dawson County, Dawson County,13085,0
Decatur County, Decatur County,13089,0.09
DeKalb County, DeKalb County,13087,0.07
Dodge County, Dodge County,13091,0.01
Dooly County, Dooly County,13093,0.01
Dougherty County, Dougherty County,13095,0.23
Douglas County, Douglas County,13097,0.14
Early County, Early County,13099,0.05
Echols County, Echols County,13101,0.03
Effingham County, Effingham County,13103,0.05
Elbert County, Elbert County,13105,0.14
Emanuel County, Emanuel County,13107,0.14
Evans County, Evans County,13109,0.03
Fannin County, Fannin County,13111,0
Fayette County, Fayette County,13113,0.07
Floyd County, Floyd County,13115,0.09
Forsyth County, Forsyth County,13117,0.04
Franklin County, Franklin County,13119,0
Fulton County, Fulton County,13121,0.08
Gilmer County, Gilmer County,13123,0.03
Glascock County, Glascock County,13125,0.28
Glynn County, Glynn County,13127,0.1
Gordon County, Gordon County,13129,0.09
Grady County, Grady County,13131,0.07
Greene County, Greene County,13133,0.02
Gwinnett County, Gwinnett County,13135,0.09
Habersham County, Habersham County,13137,0.1
Hall County, Hall County,13139,0.1
Hancock County, Hancock County,13141,0.14
Haralson County, Haralson County,13143,0.02
Harris County, Harris County,13145,0
Hart County, Hart County,13147,0.07
Heard County, Heard County,13149,0.03
Henry County, Henry County,13151,0.1
Houston County, Houston County,13153,0.12
Irwin County, Irwin County,13155,0.03
Jackson County, Jackson County,13157,0.02
Jasper County, Jasper County,13159,0.1
Jeff Davis County, Jeff Davis County,13161,0.06
Jefferson County, Jefferson County,13163,0.03
Jenkins County, Jenkins County,13165,0.02
Johnson County, Johnson County,13167,0.03
Jones County, Jones County,13169,0.04
Lamar County, Lamar County,13171,0.03
Lanier County, Lanier County,13173,0.02
Laurens County, Laurens County,13175,0.05
Lee County, Lee County,13177,0.04
Liberty County, Liberty County,13179,0.22
Lincoln County, Lincoln County,13181,0.03
Long County, Long County,13183,0.05
Lowndes County, Lowndes County,13185,0.11
Lumpkin County, Lumpkin County,13187,0.01
Macon County, Macon County,13193,0.09
Madison County, Madison County,13195,0.01
Marion County, Marion County,13197,0
McDuffie County, McDuffie County,13189,0.04
McIntosh County, McIntosh County,13191,0.03
Meriwether County, Meriwether County,13199,0.02
Miller County, Miller County,13201,0.01
Mitchell County, Mitchell County,13205,0.08
Monroe County, Monroe County,13207,0.05
Montgomery County, Montgomery County,13209,0.07
Morgan County, Morgan County,13211,0.07
Murray County, Murray County,13213,0.07
Muscogee County, Muscogee County,13215,0.12
Newton County, Newton County,13217,0.11
Oconee County, Oconee County,13219,0.06
Oglethorpe County, Oglethorpe County,13221,0.02
Paulding County, Paulding County,13223,0.07
Peach County, Peach County,13225,0.08
Pickens County, Pickens County,13227,0.02
Pierce County, Pierce County,13229,0.05
Pike County, Pike County,13231,0
Polk County, Polk County,13233,0.05
Pulaski County, Pulaski County,13235,0.05
Putnam County, Putnam County,13237,0.01
Quitman County, Quitman County,13239,0.2
Rabun County, Rabun County,13241,0
Randolph County, Randolph County,13243,0.16
Richmond County, Richmond County,13245,0.18
Rockdale County, Rockdale County,13247,0.15
Schley County, Schley County,13249,0
Screven County, Screven County,13251,0.09
Seminole County, Seminole County,13253,0.02
Spalding County, Spalding County,13255,0.07
Stephens County, Stephens County,13257,0.07
Stewart County, Stewart County,13259,0.06
Sumter County, Sumter County,13261,0.11
Talbot County, Talbot County,13263,0.13
Taliaferro County, Taliaferro County,13265,0.42
Tattnall County, Tattnall County,13267,0.01
Taylor County, Taylor County,13269,0.03
Telfair County, Telfair County,13271,0.01
Terrell County, Terrell County,13273,0.04
Thomas County, Thomas County,13275,0.14
Tift County, Tift County,13277,0.05
Toombs County, Toombs County,13279,0.1
Towns County, Towns County,13281,0
Treutlen County, Treutlen County,13283,0.02
Troup County, Troup County,13285,0.07
Turner County, Turner County,13287,0.04
Twiggs County, Twiggs County,13289,0
Union County, Union County,13291,0.01
Upson County, Upson County,13293,0.14
Walker County, Walker County,13295,0.12
Walton County, Walton County,13297,0.06
Ware County, Ware County,13299,0.17
Warren County, Warren County,13301,0.01
Washington County, Washington County,13303,0.13
Wayne County, Wayne County,13305,0.15
Webster County, Webster County,13307,0.01
Wheeler County, Wheeler County,13309,0.03
White County, White County,13311,0
Whitfield County, Whitfield County,13313,0.11
Wilcox County, Wilcox County,13315,0
Wilkes County, Wilkes County,13317,0.11
Wilkinson County, Wilkinson County,13319,0.11
Worth County, Worth County,13321,0.04
,,unit,%-.1f
