county,CountyName,id,value
Appling County, Appling County,13001,0.27
Atkinson County, Atkinson County,13003,0.28
Bacon County, Bacon County,13005,0.29
Baker County, Baker County,13007,0.27
Baldwin County, Baldwin County,13009,0.24
Banks County, Banks County,13011,0.28
Barrow County, Barrow County,13013,0.31
Bartow County, Bartow County,13015,0.3
Ben Hill County, Ben Hill County,13017,0.3
Berrien County, Berrien County,13019,0.3
Bibb County, Bibb County,13021,0.3
Bleckley County, Bleckley County,13023,0.29
Brantley County, Brantley County,13025,0.27
Brooks County, Brooks County,13027,0.29
Bryan County, Bryan County,13029,0.31
Bulloch County, Bulloch County,13031,0.24
Burke County, Burke County,13033,0.3
Butts County, Butts County,13035,0.27
Calhoun County, Calhoun County,13037,0.27
Camden County, Camden County,13039,0.26
Candler County, Candler County,13043,0.29
Carroll County, Carroll County,13045,0.31
Catoosa County, Catoosa County,13047,0.25
Charlton County, Charlton County,13049,0.27
Chatham County, Chatham County,13051,0.23
Chattahoochee County, Chattahoochee County,13053,0.21
Chattooga County, Chattooga County,13055,0.29
Cherokee County, Cherokee County,13057,0.22
Clarke County, Clarke County,13059,0.24
Clay County, Clay County,13061,0.32
Clayton County, Clayton County,13063,0.28
Clinch County, Clinch County,13065,0.27
Cobb County, Cobb County,13067,0.19
Coffee County, Coffee County,13069,0.28
Colquitt County, Colquitt County,13071,0.3
Columbia County, Columbia County,13073,0.21
Cook County, Cook County,13075,0.32
Coweta County, Coweta County,13077,0.24
Crawford County, Crawford County,13079,0.32
Crisp County, Crisp County,13081,0.29
Dade County, Dade County,13083,0.28
Dawson County, Dawson County,13085,0.24
Decatur County, Decatur County,13089,0.2
DeKalb County, DeKalb County,13087,0.26
Dodge County, Dodge County,13091,0.28
Dooly County, Dooly County,13093,0.28
Dougherty County, Dougherty County,13095,0.3
Douglas County, Douglas County,13097,0.28
Early County, Early County,13099,0.31
Echols County, Echols County,13101,0.22
Effingham County, Effingham County,13103,0.28
Elbert County, Elbert County,13105,0.29
Emanuel County, Emanuel County,13107,0.3
Evans County, Evans County,13109,0.27
Fannin County, Fannin County,13111,0.26
Fayette County, Fayette County,13113,0.2
Floyd County, Floyd County,13115,0.26
Forsyth County, Forsyth County,13117,0.21
Franklin County, Franklin County,13119,0.3
Fulton County, Fulton County,13121,0.19
Gilmer County, Gilmer County,13123,0.31
Glascock County, Glascock County,13125,0.25
Glynn County, Glynn County,13127,0.24
Gordon County, Gordon County,13129,0.25
Grady County, Grady County,13131,0.32
Greene County, Greene County,13133,0.29
Gwinnett County, Gwinnett County,13135,0.21
Habersham County, Habersham County,13137,0.23
Hall County, Hall County,13139,0.23
Hancock County, Hancock County,13141,0.27
Haralson County, Haralson County,13143,0.25
Harris County, Harris County,13145,0.25
Hart County, Hart County,13147,0.26
Heard County, Heard County,13149,0.25
Henry County, Henry County,13151,0.24
Houston County, Houston County,13153,0.26
Irwin County, Irwin County,13155,0.28
Jackson County, Jackson County,13157,0.24
Jasper County, Jasper County,13159,0.28
Jeff Davis County, Jeff Davis County,13161,0.29
Jefferson County, Jefferson County,13163,0.25
Jenkins County, Jenkins County,13165,0.29
Johnson County, Johnson County,13167,0.31
Jones County, Jones County,13169,0.32
Lamar County, Lamar County,13171,0.26
Lanier County, Lanier County,13173,0.3
Laurens County, Laurens County,13175,0.31
Lee County, Lee County,13177,0.21
Liberty County, Liberty County,13179,0.27
Lincoln County, Lincoln County,13181,0.27
Long County, Long County,13183,0.25
Lowndes County, Lowndes County,13185,0.25
Lumpkin County, Lumpkin County,13187,0.26
Macon County, Macon County,13193,0.3
Madison County, Madison County,13195,0.33
Marion County, Marion County,13197,0.32
McDuffie County, McDuffie County,13189,0.3
McIntosh County, McIntosh County,13191,0.28
Meriwether County, Meriwether County,13199,0.28
Miller County, Miller County,13201,0.28
Mitchell County, Mitchell County,13205,0.31
Monroe County, Monroe County,13207,0.28
Montgomery County, Montgomery County,13209,0.3
Morgan County, Morgan County,13211,0.25
Murray County, Murray County,13213,0.29
Muscogee County, Muscogee County,13215,0.27
Newton County, Newton County,13217,0.28
Oconee County, Oconee County,13219,0.23
Oglethorpe County, Oglethorpe County,13221,0.26
Paulding County, Paulding County,13223,0.23
Peach County, Peach County,13225,0.29
Pickens County, Pickens County,13227,0.29
Pierce County, Pierce County,13229,0.32
Pike County, Pike County,13231,0.27
Polk County, Polk County,13233,0.27
Pulaski County, Pulaski County,13235,0.3
Putnam County, Putnam County,13237,0.29
Quitman County, Quitman County,13239,0.29
Rabun County, Rabun County,13241,0.3
Randolph County, Randolph County,13243,0.29
Richmond County, Richmond County,13245,0.28
Rockdale County, Rockdale County,13247,0.31
Schley County, Schley County,13249,0.25
Screven County, Screven County,13251,0.33
Seminole County, Seminole County,13253,0.31
Spalding County, Spalding County,13255,0.28
Stephens County, Stephens County,13257,0.27
Stewart County, Stewart County,13259,0.26
Sumter County, Sumter County,13261,0.31
Talbot County, Talbot County,13263,0.31
Taliaferro County, Taliaferro County,13265,0.3
Tattnall County, Tattnall County,13267,0.34
Taylor County, Taylor County,13269,0.27
Telfair County, Telfair County,13271,0.29
Terrell County, Terrell County,13273,0.27
Thomas County, Thomas County,13275,0.28
Tift County, Tift County,13277,0.29
Toombs County, Toombs County,13279,0.31
Towns County, Towns County,13281,0.29
Treutlen County, Treutlen County,13283,0.28
Troup County, Troup County,13285,0.29
Turner County, Turner County,13287,0.3
Twiggs County, Twiggs County,13289,0.29
Union County, Union County,13291,0.27
Upson County, Upson County,13293,0.3
Walker County, Walker County,13295,0.3
Walton County, Walton County,13297,0.26
Ware County, Ware County,13299,0.28
Warren County, Warren County,13301,0.28
Washington County, Washington County,13303,0.26
Wayne County, Wayne County,13305,0.24
Webster County, Webster County,13307,0.27
Wheeler County, Wheeler County,13309,0.29
White County, White County,13311,0.23
Whitfield County, Whitfield County,13313,0.27
Wilcox County, Wilcox County,13315,0.28
Wilkes County, Wilkes County,13317,0.28
Wilkinson County, Wilkinson County,13319,0.31
Worth County, Worth County,13321,0.29
,,unit,%-.1f
