county,CountyName,id,value
Appling County, Appling County,13001,0.36
Atkinson County, Atkinson County,13003,0.38
Bacon County, Bacon County,13005,0.36
Baker County, Baker County,13007,0.38
Baldwin County, Baldwin County,13009,0.39
Banks County, Banks County,13011,0.34
Barrow County, Barrow County,13013,0.36
Bartow County, Bartow County,13015,0.36
Ben Hill County, Ben Hill County,13017,0.39
Berrien County, Berrien County,13019,0.35
Bibb County, Bibb County,13021,0.4
Bleckley County, Bleckley County,13023,0.36
Brantley County, Brantley County,13025,0.36
Brooks County, Brooks County,13027,0.38
Bryan County, Bryan County,13029,0.35
Bulloch County, Bulloch County,13031,0.38
Burke County, Burke County,13033,0.39
Butts County, Butts County,13035,0.38
Calhoun County, Calhoun County,13037,0.43
Camden County, Camden County,13039,0.37
Candler County, Candler County,13043,0.37
Carroll County, Carroll County,13045,0.35
Catoosa County, Catoosa County,13047,0.34
Charlton County, Charlton County,13049,0.39
Chatham County, Chatham County,13051,0.38
Chattahoochee County, Chattahoochee County,13053,0.38
Chattooga County, Chattooga County,13055,0.36
Cherokee County, Cherokee County,13057,0.33
Clarke County, Clarke County,13059,0.38
Clay County, Clay County,13061,0.42
Clayton County, Clayton County,13063,0.42
Clinch County, Clinch County,13065,0.39
Cobb County, Cobb County,13067,0.35
Coffee County, Coffee County,13069,0.37
Colquitt County, Colquitt County,13071,0.37
Columbia County, Columbia County,13073,0.36
Cook County, Cook County,13075,0.37
Coweta County, Coweta County,13077,0.36
Crawford County, Crawford County,13079,0.35
Crisp County, Crisp County,13081,0.4
Dade County, Dade County,13083,0.33
Dawson County, Dawson County,13085,0.32
Decatur County, Decatur County,13089,0.39
DeKalb County, DeKalb County,13087,0.38
Dodge County, Dodge County,13091,0.36
Dooly County, Dooly County,13093,0.4
Dougherty County, Dougherty County,13095,0.47
Douglas County, Douglas County,13097,0.39
Early County, Early County,13099,0.42
Echols County, Echols County,13101,0.38
Effingham County, Effingham County,13103,0.36
Elbert County, Elbert County,13105,0.36
Emanuel County, Emanuel County,13107,0.37
Evans County, Evans County,13109,0.37
Fannin County, Fannin County,13111,0.33
Fayette County, Fayette County,13113,0.33
Floyd County, Floyd County,13115,0.33
Forsyth County, Forsyth County,13117,0.31
Franklin County, Franklin County,13119,0.35
Fulton County, Fulton County,13121,0.37
Gilmer County, Gilmer County,13123,0.33
Glascock County, Glascock County,13125,0.35
Glynn County, Glynn County,13127,0.37
Gordon County, Gordon County,13129,0.34
Grady County, Grady County,13131,0.39
Greene County, Greene County,13133,0.36
Gwinnett County, Gwinnett County,13135,0.35
Habersham County, Habersham County,13137,0.33
Hall County, Hall County,13139,0.32
Hancock County, Hancock County,13141,0.42
Haralson County, Haralson County,13143,0.37
Harris County, Harris County,13145,0.34
Hart County, Hart County,13147,0.35
Heard County, Heard County,13149,0.35
Henry County, Henry County,13151,0.36
Houston County, Houston County,13153,0.36
Irwin County, Irwin County,13155,0.38
Jackson County, Jackson County,13157,0.34
Jasper County, Jasper County,13159,0.37
Jeff Davis County, Jeff Davis County,13161,0.38
Jefferson County, Jefferson County,13163,0.4
Jenkins County, Jenkins County,13165,0.39
Johnson County, Johnson County,13167,0.39
Jones County, Jones County,13169,0.37
Lamar County, Lamar County,13171,0.38
Lanier County, Lanier County,13173,0.39
Laurens County, Laurens County,13175,0.36
Lee County, Lee County,13177,0.35
Liberty County, Liberty County,13179,0.41
Lincoln County, Lincoln County,13181,0.36
Long County, Long County,13183,0.38
Lowndes County, Lowndes County,13185,0.37
Lumpkin County, Lumpkin County,13187,0.33
Macon County, Macon County,13193,0.43
Madison County, Madison County,13195,0.36
Marion County, Marion County,13197,0.38
McDuffie County, McDuffie County,13189,0.39
McIntosh County, McIntosh County,13191,0.35
Meriwether County, Meriwether County,13199,0.38
Miller County, Miller County,13201,0.36
Mitchell County, Mitchell County,13205,0.39
Monroe County, Monroe County,13207,0.35
Montgomery County, Montgomery County,13209,0.35
Morgan County, Morgan County,13211,0.35
Murray County, Murray County,13213,0.35
Muscogee County, Muscogee County,13215,0.41
Newton County, Newton County,13217,0.41
Oconee County, Oconee County,13219,0.33
Oglethorpe County, Oglethorpe County,13221,0.37
Paulding County, Paulding County,13223,0.36
Peach County, Peach County,13225,0.37
Pickens County, Pickens County,13227,0.3
Pierce County, Pierce County,13229,0.35
Pike County, Pike County,13231,0.34
Polk County, Polk County,13233,0.36
Pulaski County, Pulaski County,13235,0.38
Putnam County, Putnam County,13237,0.35
Quitman County, Quitman County,13239,0.38
Rabun County, Rabun County,13241,0.33
