county,CountyName,id,value
Appling County, Appling County,13001,75.1
Atkinson County, Atkinson County,13003,69.9
Bacon County, Bacon County,13005,82.5
Baker County, Baker County,13007,77.6
Baldwin County, Baldwin County,13009,82
Banks County, Banks County,13011,77
Barrow County, Barrow County,13013,83.2
Bartow County, Bartow County,13015,82.7
Ben Hill County, Ben Hill County,13017,81.4
Berrien County, Berrien County,13019,80.1
Bibb County, Bibb County,13021,85.1
Bleckley County, Bleckley County,13023,84.9
Brantley County, Brantley County,13025,81.7
Brooks County, Brooks County,13027,80.5
Bryan County, Bryan County,13029,91.5
Bulloch County, Bulloch County,13031,86.7
Burke County, Burke County,13033,80
Butts County, Butts County,13035,77.3
Calhoun County, Calhoun County,13037,74.3
Camden County, Camden County,13039,91.5
Candler County, Candler County,13043,75.7
Carroll County, Carroll County,13045,82.6
Catoosa County, Catoosa County,13047,86.6
Charlton County, Charlton County,13049,77.2
Chatham County, Chatham County,13051,89.3
Chattahoochee County, Chattahoochee County,13053,92.7
Chattooga County, Chattooga County,13055,73
Cherokee County, Cherokee County,13057,90.8
Clarke County, Clarke County,13059,86.7
Clay County, Clay County,13061,82.7
Clayton County, Clayton County,13063,84.1
Clinch County, Clinch County,13065,73.6
Cobb County, Cobb County,13067,91.2
Coffee County, Coffee County,13069,78.3
Colquitt County, Colquitt County,13071,73.1
Columbia County, Columbia County,13073,92.3
Cook County, Cook County,13075,78.7
Coweta County, Coweta County,13077,89
Crawford County, Crawford County,13079,84.4
Crisp County, Crisp County,13081,80.9
Dade County, Dade County,13083,79.1
Dawson County, Dawson County,13085,86.8
Decatur County, Decatur County,13089,88.7
DeKalb County, DeKalb County,13087,80.6
Dodge County, Dodge County,13091,83
Dooly County, Dooly County,13093,73
Dougherty County, Dougherty County,13095,82.7
Douglas County, Douglas County,13097,88.2
Early County, Early County,13099,80.4
Echols County, Echols County,13101,69.3
Effingham County, Effingham County,13103,87
Elbert County, Elbert County,13105,78.6
Emanuel County, Emanuel County,13107,79.9
Evans County, Evans County,13109,76.3
Fannin County, Fannin County,13111,85.8
Fayette County, Fayette County,13113,94.9
Floyd County, Floyd County,13115,80.6
Forsyth County, Forsyth County,13117,92.5
Franklin County, Franklin County,13119,77.3
Fulton County, Fulton County,13121,91.7
Gilmer County, Gilmer County,13123,81.1
Glascock County, Glascock County,13125,77.6
Glynn County, Glynn County,13127,88.1
Gordon County, Gordon County,13129,76.9
Grady County, Grady County,13131,77.7
Greene County, Greene County,13133,82.4
Gwinnett County, Gwinnett County,13135,87.5
Habersham County, Habersham County,13137,78
Hall County, Hall County,13139,78.2
Hancock County, Hancock County,13141,69.8
Haralson County, Haralson County,13143,79
Harris County, Harris County,13145,89.1
Hart County, Hart County,13147,81.2
Heard County, Heard County,13149,80.3
Henry County, Henry County,13151,90.1
Houston County, Houston County,13153,90.7
Irwin County, Irwin County,13155,82.1
Jackson County, Jackson County,13157,82.8
Jasper County, Jasper County,13159,76.1
Jeff Davis County, Jeff Davis County,13161,77
Jefferson County, Jefferson County,13163,74.5
Jenkins County, Jenkins County,13165,78.7
Johnson County, Johnson County,13167,75.6
Jones County, Jones County,13169,88.3
Lamar County, Lamar County,13171,85.5
Lanier County, Lanier County,13173,79.9
Laurens County, Laurens County,13175,83.9
Lee County, Lee County,13177,88.9
Liberty County, Liberty County,13179,90.9
Lincoln County, Lincoln County,13181,83
Long County, Long County,13183,86.5
Lowndes County, Lowndes County,13185,84.4
Lumpkin County, Lumpkin County,13187,83.3
Macon County, Macon County,13193,72.8
Madison County, Madison County,13195,82.3
Marion County, Marion County,13197,77.1
McDuffie County, McDuffie County,13189,81.2
McIntosh County, McIntosh County,13191,82.8
Meriwether County, Meriwether County,13199,77.2
Miller County, Miller County,13201,82.1
Mitchell County, Mitchell County,13205,76.6
Monroe County, Monroe County,13207,84.2
Montgomery County, Montgomery County,13209,81.3
Morgan County, Morgan County,13211,86.6
Murray County, Murray County,13213,67.6
Muscogee County, Muscogee County,13215,87.4
Newton County, Newton County,13217,85.2
Oconee County, Oconee County,13219,94.3
Oglethorpe County, Oglethorpe County,13221,77.9
Paulding County, Paulding County,13223,90.1
Peach County, Peach County,13225,85.8
Pickens County, Pickens County,13227,83.7
Pierce County, Pierce County,13229,81.9
Pike County, Pike County,13231,89
Polk County, Polk County,13233,76.7
Pulaski County, Pulaski County,13235,80.1
Putnam County, Putnam County,13237,85.9
Quitman County, Quitman County,13239,70.3
Rabun County, Rabun County,13241,83.8
Randolph County, Randolph County,13243,73.7
Richmond County, Richmond County,13245,83
Rockdale County, Rockdale County,13247,86.9
Schley County, Schley County,13249,81.3
Screven County, Screven County,13251,82
Seminole County, Seminole County,13253,84
Spalding County, Spalding County,13255,80.6
Stephens County, Stephens County,13257,81.6
Stewart County, Stewart County,13259,65.7
Sumter County, Sumter County,13261,78.7
Talbot County, Talbot County,13263,79.2
Taliaferro County, Taliaferro County,13265,69.1
Tattnall County, Tattnall County,13267,74.4
Taylor County, Taylor County,13269,76.8
Telfair County, Telfair County,13271,70.4
Terrell County, Terrell County,13273,75.8
Thomas County, Thomas County,13275,82.5
Tift County, Tift County,13277,82.2
