county,CountyName,id,value
Appling County, Appling County,13001,24.5
Atkinson County, Atkinson County,13003,36.3
Bacon County, Bacon County,13005,25.6
Baker County, Baker County,13007,26
Baldwin County, Baldwin County,13009,27
Banks County, Banks County,13011,16.4
Barrow County, Barrow County,13013,12
Bartow County, Bartow County,13015,14.5
Ben Hill County, Ben Hill County,13017,27.9
Berrien County, Berrien County,13019,21.7
Bibb County, Bibb County,13021,25.9
Bleckley County, Bleckley County,13023,19.8
Brantley County, Brantley County,13025,23.6
Brooks County, Brooks County,13027,24.5
Bryan County, Bryan County,13029,11.8
Bulloch County, Bulloch County,13031,34.3
Burke County, Burke County,13033,32.9
Butts County, Butts County,13035,16.5
Calhoun County, Calhoun County,13037,36.8
Camden County, Camden County,13039,15.5
Candler County, Candler County,13043,25.2
Carroll County, Carroll County,13045,19
Catoosa County, Catoosa County,13047,14.3
Charlton County, Charlton County,13049,27.9
Chatham County, Chatham County,13051,19.7
Chattahoochee County, Chattahoochee County,13053,18.5
Chattooga County, Chattooga County,13055,20.5
Cherokee County, Cherokee County,13057,8.6
Clarke County, Clarke County,13059,33.3
Clay County, Clay County,13061,35.7
Clayton County, Clayton County,13063,22.6
Clinch County, Clinch County,13065,24.7
Cobb County, Cobb County,13067,14
Coffee County, Coffee County,13069,25.9
Colquitt County, Colquitt County,13071,26.2
Columbia County, Columbia County,13073,8.8
Cook County, Cook County,13075,24.7
Coweta County, Coweta County,13077,11
Crawford County, Crawford County,13079,19
Crisp County, Crisp County,13081,29.9
Dade County, Dade County,13083,16.3
Dawson County, Dawson County,13085,13.9
Decatur County, Decatur County,13089,19.4
DeKalb County, DeKalb County,13087,25.1
Dodge County, Dodge County,13091,22.5
Dooly County, Dooly County,13093,25.2
Dougherty County, Dougherty County,13095,35.1
Douglas County, Douglas County,13097,12.7
Early County, Early County,13099,27.6
Echols County, Echols County,13101,27
Effingham County, Effingham County,13103,10.6
Elbert County, Elbert County,13105,24.5
Emanuel County, Emanuel County,13107,29.5
Evans County, Evans County,13109,24.9
Fannin County, Fannin County,13111,18.2
Fayette County, Fayette County,13113,6.7
Floyd County, Floyd County,13115,19.1
Forsyth County, Forsyth County,13117,7.2
Franklin County, Franklin County,13119,18
Fulton County, Fulton County,13121,17.7
