county,CountyName,id,value
Appling County, Appling County,13001,0.06
Atkinson County, Atkinson County,13003,0.04
Bacon County, Bacon County,13005,0.05
Baker County, Baker County,13007,0.06
Baldwin County, Baldwin County,13009,0.06
Banks County, Banks County,13011,0.04
Barrow County, Barrow County,13013,0.04
Bartow County, Bartow County,13015,0.05
Ben Hill County, Ben Hill County,13017,0.08
Berrien County, Berrien County,13019,0.05
Bibb County, Bibb County,13021,0.05
Bleckley County, Bleckley County,13023,0.07
Brantley County, Brantley County,13025,0.06
Brooks County, Brooks County,13027,0.05
Bryan County, Bryan County,13029,0.04
Bulloch County, Bulloch County,13031,0.05
Burke County, Burke County,13033,0.07
Butts County, Butts County,13035,0.05
Calhoun County, Calhoun County,13037,0.05
Camden County, Camden County,13039,0.05
Candler County, Candler County,13043,0.04
Carroll County, Carroll County,13045,0.05
Catoosa County, Catoosa County,13047,0.04
Charlton County, Charlton County,13049,0.05
Chatham County, Chatham County,13051,0.05
Chattahoochee County, Chattahoochee County,13053,0.07
Chattooga County, Chattooga County,13055,0.05
Cherokee County, Cherokee County,13057,0.04
Clarke County, Clarke County,13059,0.05
Clay County, Clay County,13061,0.09
Clayton County, Clayton County,13063,0.06
Clinch County, Clinch County,13065,0.06
Cobb County, Cobb County,13067,0.04
Coffee County, Coffee County,13069,0.05
Colquitt County, Colquitt County,13071,0.05
Columbia County, Columbia County,13073,0.04
Cook County, Cook County,13075,0.05
Coweta County, Coweta County,13077,0.04
Crawford County, Crawford County,13079,0.05
Crisp County, Crisp County,13081,0.05
Dade County, Dade County,13083,0.04
Dawson County, Dawson County,13085,0.04
Decatur County, Decatur County,13089,0.05
DeKalb County, DeKalb County,13087,0.06
Dodge County, Dodge County,13091,0.06
Dooly County, Dooly County,13093,0.05
Dougherty County, Dougherty County,13095,0.06
Douglas County, Douglas County,13097,0.05
Early County, Early County,13099,0.05
Echols County, Echols County,13101,0.04
Effingham County, Effingham County,13103,0.04
Elbert County, Elbert County,13105,0.05
Emanuel County, Emanuel County,13107,0.07
Evans County, Evans County,13109,0.04
Fannin County, Fannin County,13111,0.05
Fayette County, Fayette County,13113,0.04
Floyd County, Floyd County,13115,0.05
Forsyth County, Forsyth County,13117,0.04
Franklin County, Franklin County,13119,0.05
Fulton County, Fulton County,13121,0.05
Gilmer County, Gilmer County,13123,0.05
Glascock County, Glascock County,13125,0.05
Glynn County, Glynn County,13127,0.05
Gordon County, Gordon County,13129,0.05
Grady County, Grady County,13131,0.05
Greene County, Greene County,13133,0.05
Gwinnett County, Gwinnett County,13135,0.04
Habersham County, Habersham County,13137,0.05
Hall County, Hall County,13139,0.04
Hancock County, Hancock County,13141,0.07
Haralson County, Haralson County,13143,0.05
Harris County, Harris County,13145,0.04
Hart County, Hart County,13147,0.04
Heard County, Heard County,13149,0.05
Henry County, Henry County,13151,0.05
Houston County, Houston County,13153,0.05
Irwin County, Irwin County,13155,0.07
Jackson County, Jackson County,13157,0.04
Jasper County, Jasper County,13159,0.04
Jeff Davis County, Jeff Davis County,13161,0.06
Jefferson County, Jefferson County,13163,0.06
Jenkins County, Jenkins County,13165,0.07
Johnson County, Johnson County,13167,0.05
Jones County, Jones County,13169,0.04
Lamar County, Lamar County,13171,0.06
Lanier County, Lanier County,13173,0.05
Laurens County, Laurens County,13175,0.06
Lee County, Lee County,13177,0.04
Liberty County, Liberty County,13179,0.05
Lincoln County, Lincoln County,13181,0.05
Long County, Long County,13183,0.05
Lowndes County, Lowndes County,13185,0.05
Lumpkin County, Lumpkin County,13187,0.04
Macon County, Macon County,13193,0.07
Madison County, Madison County,13195,0.04
Marion County, Marion County,13197,0.06
McDuffie County, McDuffie County,13189,0.06
McIntosh County, McIntosh County,13191,0.05
Meriwether County, Meriwether County,13199,0.06
Miller County, Miller County,13201,0.05
Mitchell County, Mitchell County,13205,0.06
Monroe County, Monroe County,13207,0.05
Montgomery County, Montgomery County,13209,0.07
Morgan County, Morgan County,13211,0.05
Murray County, Murray County,13213,0.06
Muscogee County, Muscogee County,13215,0.06
Newton County, Newton County,13217,0.05
Oconee County, Oconee County,13219,0.04
Oglethorpe County, Oglethorpe County,13221,0.04
Paulding County, Paulding County,13223,0.04
Peach County, Peach County,13225,0.06
Pickens County, Pickens County,13227,0.04
Pierce County, Pierce County,13229,0.05
Pike County, Pike County,13231,0.04
Polk County, Polk County,13233,0.05
