county,CountyName,id,value
Appling County, Appling County,13001,5.1
Atkinson County, Atkinson County,13003,4.2
Bacon County, Bacon County,13005,5.4
Baker County, Baker County,13007,6.1
Baldwin County, Baldwin County,13009,6.2
Banks County, Banks County,13011,4
Barrow County, Barrow County,13013,3.6
Bartow County, Bartow County,13015,4.3
Ben Hill County, Ben Hill County,13017,5.4
Berrien County, Berrien County,13019,5
Bibb County, Bibb County,13021,6.4
Bleckley County, Bleckley County,13023,6.1
Brantley County, Brantley County,13025,4.3
Brooks County, Brooks County,13027,5
Bryan County, Bryan County,13029,4.9
Bulloch County, Bulloch County,13031,6
Burke County, Burke County,13033,5.8
Butts County, Butts County,13035,5
Calhoun County, Calhoun County,13037,5.4
Camden County, Camden County,13039,3.8
Candler County, Candler County,13043,6.1
Carroll County, Carroll County,13045,4.3
Catoosa County, Catoosa County,13047,4.3
Charlton County, Charlton County,13049,4.9
Chatham County, Chatham County,13051,4.8
Chattahoochee County, Chattahoochee County,13053,3.5
Chattooga County, Chattooga County,13055,4.8
Cherokee County, Cherokee County,13057,3.9
Clarke County, Clarke County,13059,6.5
Clay County, Clay County,13061,6.1
Clayton County, Clayton County,13063,4
Clinch County, Clinch County,13065,8.8
Cobb County, Cobb County,13067,4.4
Coffee County, Coffee County,13069,5.7
Colquitt County, Colquitt County,13071,4.7
Columbia County, Columbia County,13073,3.5
Cook County, Cook County,13075,4.9
Coweta County, Coweta County,13077,4.1
Crawford County, Crawford County,13079,4.9
Crisp County, Crisp County,13081,6.1
Dade County, Dade County,13083,4.9
Dawson County, Dawson County,13085,4.6
Decatur County, Decatur County,13089,4.8
DeKalb County, DeKalb County,13087,6.6
Dodge County, Dodge County,13091,5.5
Dooly County, Dooly County,13093,4.9
Dougherty County, Dougherty County,13095,5.8
Douglas County, Douglas County,13097,4
Early County, Early County,13099,5.7
Echols County, Echols County,13101,5.4
Effingham County, Effingham County,13103,3.6
Elbert County, Elbert County,13105,5.5
Emanuel County, Emanuel County,13107,5.3
Evans County, Evans County,13109,5.4
Fannin County, Fannin County,13111,4.6
