county,CountyName,id,value
Appling County, Appling County,13001,40862
Atkinson County, Atkinson County,13003,34821
Bacon County, Bacon County,13005,38417
Baker County, Baker County,13007,37286
Baldwin County, Baldwin County,13009,40358
Banks County, Banks County,13011,49481
Barrow County, Barrow County,13013,60028
Bartow County, Bartow County,13015,55067
Ben Hill County, Ben Hill County,13017,32370
Berrien County, Berrien County,13019,38239
Bibb County, Bibb County,13021,39047
Bleckley County, Bleckley County,13023,44262
Brantley County, Brantley County,13025,40906
Brooks County, Brooks County,13027,36030
Bryan County, Bryan County,13029,73877
Bulloch County, Bulloch County,13031,42068
Burke County, Burke County,13033,41863
Butts County, Butts County,13035,46062
Calhoun County, Calhoun County,13037,33889
Camden County, Camden County,13039,53582
Candler County, Candler County,13043,33846
Carroll County, Carroll County,13045,51388
Catoosa County, Catoosa County,13047,53833
Charlton County, Charlton County,13049,40636
Chatham County, Chatham County,13051,54667
Chattahoochee County, Chattahoochee County,13053,44439
Chattooga County, Chattooga County,13055,39325
Cherokee County, Cherokee County,13057,78247
Clarke County, Clarke County,13059,39901
Clay County, Clay County,13061,29122
Clayton County, Clayton County,13063,44757
Clinch County, Clinch County,13065,37174
Cobb County, Cobb County,13067,75485
Coffee County, Coffee County,13069,39408
Colquitt County, Colquitt County,13071,36651
Columbia County, Columbia County,13073,75832
Cook County, Cook County,13075,36463
Coweta County, Coweta County,13077,73296
Crawford County, Crawford County,13079,47422
Crisp County, Crisp County,13081,34754
Dade County, Dade County,13083,45053
Dawson County, Dawson County,13085,64930
Decatur County, Decatur County,13089,61496
DeKalb County, DeKalb County,13087,37835
Dodge County, Dodge County,13091,36067
Dooly County, Dooly County,13093,35781
Dougherty County, Dougherty County,13095,36994
Douglas County, Douglas County,13097,60177
Early County, Early County,13099,32490
Echols County, Echols County,13101,36559
Effingham County, Effingham County,13103,68109
Elbert County, Elbert County,13105,35452
Emanuel County, Emanuel County,13107,33551
Evans County, Evans County,13109,34464
Fannin County, Fannin County,13111,42986
Fayette County, Fayette County,13113,87831
Floyd County, Floyd County,13115,45979
