county,CountyName,id,value
Appling County, Appling County,13001,16.2
Atkinson County, Atkinson County,13003,12.4
Bacon County, Bacon County,13005,17.4
Baker County, Baker County,13007,17.9
Baldwin County, Baldwin County,13009,10.7
Banks County, Banks County,13011,9.4
Barrow County, Barrow County,13013,17
Bartow County, Bartow County,13015,12.7
Ben Hill County, Ben Hill County,13017,11.7
Berrien County, Berrien County,13019,12
Bibb County, Bibb County,13021,12.4
Bleckley County, Bleckley County,13023,7
Brantley County, Brantley County,13025,5.9
Brooks County, Brooks County,13027,10.6
Bryan County, Bryan County,13029,11.2
Bulloch County, Bulloch County,13031,12.6
Burke County, Burke County,13033,12.6
Butts County, Butts County,13035,11.6
Calhoun County, Calhoun County,13037,18
Camden County, Camden County,13039,16.8
Candler County, Candler County,13043,10.2
Carroll County, Carroll County,13045,12.6
Catoosa County, Catoosa County,13047,15
Charlton County, Charlton County,13049,16
Chatham County, Chatham County,13051,9.9
Chattahoochee County, Chattahoochee County,13053,9.9
Chattooga County, Chattooga County,13055,10.8
Cherokee County, Cherokee County,13057,9.3
Clarke County, Clarke County,13059,8.1
Clay County, Clay County,13061,12.2
Clayton County, Clayton County,13063,11.6
Clinch County, Clinch County,13065,24.2
Cobb County, Cobb County,13067,8.4
Coffee County, Coffee County,13069,10.5
Colquitt County, Colquitt County,13071,16.8
Columbia County, Columbia County,13073,9.4
Cook County, Cook County,13075,14.4
Coweta County, Coweta County,13077,8.6
Crawford County, Crawford County,13079,18
Crisp County, Crisp County,13081,17.2
Dade County, Dade County,13083,22.6
Dawson County, Dawson County,13085,14.2
Decatur County, Decatur County,13089,8.5
DeKalb County, DeKalb County,13087,13.1
Dodge County, Dodge County,13091,14.8
Dooly County, Dooly County,13093,14.2
Dougherty County, Dougherty County,13095,13.8
Douglas County, Douglas County,13097,10
Early County, Early County,13099,17.1
Echols County, Echols County,13101,11
Effingham County, Effingham County,13103,9.6
Elbert County, Elbert County,13105,6.3
Emanuel County, Emanuel County,13107,16.1
Evans County, Evans County,13109,6.3
Fannin County, Fannin County,13111,11.5
Fayette County, Fayette County,13113,9.7
Floyd County, Floyd County,13115,12.9
Forsyth County, Forsyth County,13117,7.3
Franklin County, Franklin County,13119,11.9
Fulton County, Fulton County,13121,8.3
Gilmer County, Gilmer County,13123,16.8
Glascock County, Glascock County,13125,15.2
Glynn County, Glynn County,13127,12.6
Gordon County, Gordon County,13129,13.7
Grady County, Grady County,13131,15.1
Greene County, Greene County,13133,10.2
Gwinnett County, Gwinnett County,13135,10.9
Habersham County, Habersham County,13137,7.3
Hall County, Hall County,13139,11.7
Hancock County, Hancock County,13141,16.4
Haralson County, Haralson County,13143,7.6
Harris County, Harris County,13145,11.7
Hart County, Hart County,13147,6.3
Heard County, Heard County,13149,18.3
Henry County, Henry County,13151,12.3
Houston County, Houston County,13153,9.4
Irwin County, Irwin County,13155,16.3
Jackson County, Jackson County,13157,10.9
Jasper County, Jasper County,13159,10.9
Jeff Davis County, Jeff Davis County,13161,23.3
Jefferson County, Jefferson County,13163,20.3
Jenkins County, Jenkins County,13165,12.5
Johnson County, Johnson County,13167,13
Jones County, Jones County,13169,18.4
Lamar County, Lamar County,13171,19.3
Lanier County, Lanier County,13173,32.3
Laurens County, Laurens County,13175,14.5
Lee County, Lee County,13177,24.6
Liberty County, Liberty County,13179,14.6
Lincoln County, Lincoln County,13181,13.9
Long County, Long County,13183,9.7
Lowndes County, Lowndes County,13185,16.2
Lumpkin County, Lumpkin County,13187,10.2
Macon County, Macon County,13193,15.8
Madison County, Madison County,13195,14.3
Marion County, Marion County,13197,21
McDuffie County, McDuffie County,13189,17.3
McIntosh County, McIntosh County,13191,12.1
Meriwether County, Meriwether County,13199,18.3
Miller County, Miller County,13201,16.9
Mitchell County, Mitchell County,13205,10
Monroe County, Monroe County,13207,9.1
Montgomery County, Montgomery County,13209,8
Morgan County, Morgan County,13211,11.5
Murray County, Murray County,13213,19.1
Muscogee County, Muscogee County,13215,12.9
Newton County, Newton County,13217,16.8
Oconee County, Oconee County,13219,5
Oglethorpe County, Oglethorpe County,13221,10
Paulding County, Paulding County,13223,11.9
Peach County, Peach County,13225,13.9
Pickens County, Pickens County,13227,11.3
Pierce County, Pierce County,13229,19
Pike County, Pike County,13231,4.6
Polk County, Polk County,13233,14.7
Pulaski County, Pulaski County,13235,19.5
Putnam County, Putnam County,13237,19.3
Quitman County, Quitman County,13239,13.1
Rabun County, Rabun County,13241,14.7
Randolph County, Randolph County,13243,9.4
Richmond County, Richmond County,13245,11.6
Rockdale County, Rockdale County,13247,13.2
Schley County, Schley County,13249,5.2
Screven County, Screven County,13251,10.6
Seminole County, Seminole County,13253,7.3
Spalding County, Spalding County,13255,13.8
