county,CountyName,id,value
Appling County, Appling County,13001,18.3
Atkinson County, Atkinson County,13003,13.5
Bacon County, Bacon County,13005,20.6
Baker County, Baker County,13007,21.6
Baldwin County, Baldwin County,13009,11.2
Banks County, Banks County,13011,9.3
Barrow County, Barrow County,13013,19
Bartow County, Bartow County,13015,13.2
Ben Hill County, Ben Hill County,13017,12.4
Berrien County, Berrien County,13019,12.5
Bibb County, Bibb County,13021,13.3
Bleckley County, Bleckley County,13023,6.6
Brantley County, Brantley County,13025,5.5
Brooks County, Brooks County,13027,11.1
Bryan County, Bryan County,13029,11.4
Bulloch County, Bulloch County,13031,13.4
Burke County, Burke County,13033,13.9
Butts County, Butts County,13035,12.4
Calhoun County, Calhoun County,13037,22.1
Camden County, Camden County,13039,19.2
Candler County, Candler County,13043,10.6
Carroll County, Carroll County,13045,13.1
Catoosa County, Catoosa County,13047,15.8
Charlton County, Charlton County,13049,18.3
Chatham County, Chatham County,13051,10
Chattahoochee County, Chattahoochee County,13053,10.9
Chattooga County, Chattooga County,13055,10.8
Cherokee County, Cherokee County,13057,8.7
Clarke County, Clarke County,13059,8.1
Clay County, Clay County,13061,13.7
Clayton County, Clayton County,13063,12.3
Clinch County, Clinch County,13065,32.3
Cobb County, Cobb County,13067,8.1
Coffee County, Coffee County,13069,11
Colquitt County, Colquitt County,13071,18.7
Columbia County, Columbia County,13073,9.3
Cook County, Cook County,13075,15.8
Coweta County, Coweta County,13077,8.3
Crawford County, Crawford County,13079,21.1
Crisp County, Crisp County,13081,19.6
Dade County, Dade County,13083,28
Dawson County, Dawson County,13085,15.2
Decatur County, Decatur County,13089,8.6
DeKalb County, DeKalb County,13087,14.3
Dodge County, Dodge County,13091,16.3
Dooly County, Dooly County,13093,16.2
Dougherty County, Dougherty County,13095,15.1
Douglas County, Douglas County,13097,10.2
Early County, Early County,13099,20.1
Echols County, Echols County,13101,11.9
Effingham County, Effingham County,13103,9.3
Elbert County, Elbert County,13105,6.3
Emanuel County, Emanuel County,13107,18
Evans County, Evans County,13109,6.5
Fannin County, Fannin County,13111,11.6
Fayette County, Fayette County,13113,9.9
Floyd County, Floyd County,13115,13.4
Forsyth County, Forsyth County,13117,6.8
Franklin County, Franklin County,13119,12.6
Fulton County, Fulton County,13121,8.4
Gilmer County, Gilmer County,13123,18.3
Glascock County, Glascock County,13125,17.4
Glynn County, Glynn County,13127,13.2
Gordon County, Gordon County,13129,14.4
Grady County, Grady County,13131,16.4
Greene County, Greene County,13133,10.6
Gwinnett County, Gwinnett County,13135,11.5
Habersham County, Habersham County,13137,6.8
Hall County, Hall County,13139,11.6
Hancock County, Hancock County,13141,19.7
Haralson County, Haralson County,13143,7.3
Harris County, Harris County,13145,12.5
Hart County, Hart County,13147,5.8
Heard County, Heard County,13149,22
Henry County, Henry County,13151,13.2
Houston County, Houston County,13153,9.5
Irwin County, Irwin County,13155,18.9
Jackson County, Jackson County,13157,10.8
Jasper County, Jasper County,13159,11.8
Jeff Davis County, Jeff Davis County,13161,29
Jefferson County, Jefferson County,13163,25.8
Jenkins County, Jenkins County,13165,14.3
Johnson County, Johnson County,13167,14.7
Jones County, Jones County,13169,21
Lamar County, Lamar County,13171,23.7
Lanier County, Lanier County,13173,46.2
Laurens County, Laurens County,13175,15.6
Lee County, Lee County,13177,31
Liberty County, Liberty County,13179,16.2
Lincoln County, Lincoln County,13181,15.7
Long County, Long County,13183,10.2
Lowndes County, Lowndes County,13185,18.2
Lumpkin County, Lumpkin County,13187,10
Macon County, Macon County,13193,18.3
Madison County, Madison County,13195,15.5
Marion County, Marion County,13197,25.1
McDuffie County, McDuffie County,13189,20.5
McIntosh County, McIntosh County,13191,13.1
Meriwether County, Meriwether County,13199,21.6
Miller County, Miller County,13201,20.2
Mitchell County, Mitchell County,13205,10.8
Monroe County, Monroe County,13207,9.3
Montgomery County, Montgomery County,13209,8
Morgan County, Morgan County,13211,12.1
Murray County, Murray County,13213,21.9
Muscogee County, Muscogee County,13215,13.6
Newton County, Newton County,13217,19
Oconee County, Oconee County,13219,4.4
Oglethorpe County, Oglethorpe County,13221,10.2
Paulding County, Paulding County,13223,12.3
Peach County, Peach County,13225,15.4
Pickens County, Pickens County,13227,11.4
Pierce County, Pierce County,13229,21.7
Pike County, Pike County,13231,4.2
Polk County, Polk County,13233,15.7
Pulaski County, Pulaski County,13235,22.8
Putnam County, Putnam County,13237,22.4
Quitman County, Quitman County,13239,14.7
Rabun County, Rabun County,13241,15.7
Randolph County, Randolph County,13243,10.2
Richmond County, Richmond County,13245,12.4
