county,CountyName,id,value
Appling County, Appling County,13001,39
Atkinson County, Atkinson County,13003,34.7
Bacon County, Bacon County,13005,37.5
Baker County, Baker County,13007,35
Baldwin County, Baldwin County,13009,37.2
Banks County, Banks County,13011,34
Barrow County, Barrow County,13013,38.3
Bartow County, Bartow County,13015,31
Ben Hill County, Ben Hill County,13017,39.7
Berrien County, Berrien County,13019,39.7
Bibb County, Bibb County,13021,36.5
Bleckley County, Bleckley County,13023,43
Brantley County, Brantley County,13025,32.6
Brooks County, Brooks County,13027,33
Bryan County, Bryan County,13029,34.9
Bulloch County, Bulloch County,13031,30.2
Burke County, Burke County,13033,34.2
Butts County, Butts County,13035,33.5
Calhoun County, Calhoun County,13037,27
Camden County, Camden County,13039,39.1
Candler County, Candler County,13043,50.2
Carroll County, Carroll County,13045,39.8
Catoosa County, Catoosa County,13047,39
Charlton County, Charlton County,13049,35.4
Chatham County, Chatham County,13051,32.3
Chattahoochee County, Chattahoochee County,13053,36
Chattooga County, Chattooga County,13055,29.8
Cherokee County, Cherokee County,13057,26.3
Clarke County, Clarke County,13059,24.6
Clay County, Clay County,13061,36
Clayton County, Clayton County,13063,36.2
Clinch County, Clinch County,13065,52.4
Cobb County, Cobb County,13067,28.8
Coffee County, Coffee County,13069,34.6
Colquitt County, Colquitt County,13071,37.8
Columbia County, Columbia County,13073,31.8
Cook County, Cook County,13075,29.3
Coweta County, Coweta County,13077,28.4
Crawford County, Crawford County,13079,46.4
Crisp County, Crisp County,13081,38.2
Dade County, Dade County,13083,41.2
Dawson County, Dawson County,13085,27.1
Decatur County, Decatur County,13089,26.1
DeKalb County, DeKalb County,13087,26.8
Dodge County, Dodge County,13091,34.3
Dooly County, Dooly County,13093,38
Dougherty County, Dougherty County,13095,37.2
Douglas County, Douglas County,13097,30.8
Early County, Early County,13099,43.6
Echols County, Echols County,13101,27.6
Effingham County, Effingham County,13103,39.8
Elbert County, Elbert County,13105,40.5
Emanuel County, Emanuel County,13107,27.5
Evans County, Evans County,13109,31.2
Fannin County, Fannin County,13111,25.3
Fayette County, Fayette County,13113,28.8
Floyd County, Floyd County,13115,37.8
Forsyth County, Forsyth County,13117,26.7
Franklin County, Franklin County,13119,32.7
Fulton County, Fulton County,13121,24.8
Gilmer County, Gilmer County,13123,22.7
Glascock County, Glascock County,13125,24.6
Glynn County, Glynn County,13127,33.5
Gordon County, Gordon County,13129,29.5
Grady County, Grady County,13131,34.2
Greene County, Greene County,13133,33.3
Gwinnett County, Gwinnett County,13135,29.9
Habersham County, Habersham County,13137,25.3
Hall County, Hall County,13139,32.3
Hancock County, Hancock County,13141,31.3
Haralson County, Haralson County,13143,22.4
Harris County, Harris County,13145,36.1
Hart County, Hart County,13147,32.6
Heard County, Heard County,13149,38.5
Henry County, Henry County,13151,35.6
Houston County, Houston County,13153,39.6
Irwin County, Irwin County,13155,40.6
Jackson County, Jackson County,13157,29
Jasper County, Jasper County,13159,38.2
Jeff Davis County, Jeff Davis County,13161,30.8
Jefferson County, Jefferson County,13163,28.6
Jenkins County, Jenkins County,13165,35
Johnson County, Johnson County,13167,41.7
Jones County, Jones County,13169,34.4
