county,CountyName,id,value
Appling County, Appling County,13001,505.7
Atkinson County, Atkinson County,13003,433.1
Bacon County, Bacon County,13005,540.4
Baker County, Baker County,13007,310.6
Baldwin County, Baldwin County,13009,467.3
Banks County, Banks County,13011,358.5
Barrow County, Barrow County,13013,364.9
Bartow County, Bartow County,13015,400.4
Ben Hill County, Ben Hill County,13017,518
Berrien County, Berrien County,13019,471.5
Bibb County, Bibb County,13021,534.1
Bleckley County, Bleckley County,13023,426.3
Brantley County, Brantley County,13025,429
Brooks County, Brooks County,13027,473.6
Bryan County, Bryan County,13029,372.4
Bulloch County, Bulloch County,13031,409
Burke County, Burke County,13033,442.3
Butts County, Butts County,13035,428
Calhoun County, Calhoun County,13037,478.7
Camden County, Camden County,13039,400.3
Candler County, Candler County,13043,566.9
Carroll County, Carroll County,13045,447.4
Catoosa County, Catoosa County,13047,392.4
Charlton County, Charlton County,13049,290.8
Chatham County, Chatham County,13051,366.2
Chattahoochee County, Chattahoochee County,13053,566.8
Chattooga County, Chattooga County,13055,513.5
Cherokee County, Cherokee County,13057,304
Clarke County, Clarke County,13059,356.5
Clay County, Clay County,13061,441.9
Clayton County, Clayton County,13063,405.8
Clinch County, Clinch County,13065,647.3
Cobb County, Cobb County,13067,301.3
Coffee County, Coffee County,13069,425.1
Colquitt County, Colquitt County,13071,423.8
Columbia County, Columbia County,13073,283.3
Cook County, Cook County,13075,459.4
Coweta County, Coweta County,13077,361.1
Crawford County, Crawford County,13079,399.2
Crisp County, Crisp County,13081,418.1
Dade County, Dade County,13083,463.3
Dawson County, Dawson County,13085,342.1
Decatur County, Decatur County,13089,301.1
DeKalb County, DeKalb County,13087,436.3
Dodge County, Dodge County,13091,437
Dooly County, Dooly County,13093,429.4
Dougherty County, Dougherty County,13095,415
Douglas County, Douglas County,13097,385.8
Early County, Early County,13099,546.1
Echols County, Echols County,13101,350.4
Effingham County, Effingham County,13103,388.1
Elbert County, Elbert County,13105,465.2
Emanuel County, Emanuel County,13107,544.8
Evans County, Evans County,13109,435.9
Fannin County, Fannin County,13111,359.5
Fayette County, Fayette County,13113,274.2
Floyd County, Floyd County,13115,466
Forsyth County, Forsyth County,13117,278
Franklin County, Franklin County,13119,484.5
Fulton County, Fulton County,13121,330.8
Gilmer County, Gilmer County,13123,347.4
Glascock County, Glascock County,13125,516.2
Glynn County, Glynn County,13127,347.6
Gordon County, Gordon County,13129,429.6
Grady County, Grady County,13131,408.2
Greene County, Greene County,13133,344.5
Gwinnett County, Gwinnett County,13135,283.1
Habersham County, Habersham County,13137,322.9
Hall County, Hall County,13139,302.8
Hancock County, Hancock County,13141,430.9
Haralson County, Haralson County,13143,492.8
Harris County, Harris County,13145,339.9
Hart County, Hart County,13147,381.2
Heard County, Heard County,13149,412.6
Henry County, Henry County,13151,360
Houston County, Houston County,13153,380.9
Irwin County, Irwin County,13155,412.8
