county,CountyName,id,value
Appling County, Appling County,13001,278.6
Atkinson County, Atkinson County,13003,372.7
Bacon County, Bacon County,13005,274.6
Baker County, Baker County,13007,157.1
Baldwin County, Baldwin County,13009,280.9
Banks County, Banks County,13011,314.2
Barrow County, Barrow County,13013,240.8
Bartow County, Bartow County,13015,272
Ben Hill County, Ben Hill County,13017,129.1
Berrien County, Berrien County,13019,383.9
Bibb County, Bibb County,13021,392.4
Bleckley County, Bleckley County,13023,273
Brantley County, Brantley County,13025,168.3
Brooks County, Brooks County,13027,293.1
Bryan County, Bryan County,13029,196.4
Bulloch County, Bulloch County,13031,315
Burke County, Burke County,13033,292.6
Butts County, Butts County,13035,255.5
Calhoun County, Calhoun County,13037,282.5
Camden County, Camden County,13039,137.6
Candler County, Candler County,13043,244.9
Carroll County, Carroll County,13045,187.1
Catoosa County, Catoosa County,13047,18.9
Charlton County, Charlton County,13049,85.6
Chatham County, Chatham County,13051,253.9
Chattahoochee County, Chattahoochee County,13053,287.9
Chattooga County, Chattooga County,13055,238
Cherokee County, Cherokee County,13057,110.8
Clarke County, Clarke County,13059,206.1
Clay County, Clay County,13061,
Clayton County, Clayton County,13063,245.6
Clinch County, Clinch County,13065,343.3
Cobb County, Cobb County,13067,158
Coffee County, Coffee County,13069,262.9
Colquitt County, Colquitt County,13071,225.8
Columbia County, Columbia County,13073,123.8
Cook County, Cook County,13075,184.4
Coweta County, Coweta County,13077,172
Crawford County, Crawford County,13079,178.2
Crisp County, Crisp County,13081,342.2
Dade County, Dade County,13083,
Dawson County, Dawson County,13085,156.1
Decatur County, Decatur County,13089,235.6
DeKalb County, DeKalb County,13087,267.6
Dodge County, Dodge County,13091,260
Dooly County, Dooly County,13093,268
Dougherty County, Dougherty County,13095,333.4
Douglas County, Douglas County,13097,233.6
Early County, Early County,13099,184.7
Echols County, Echols County,13101,154.9
Effingham County, Effingham County,13103,218.1
Elbert County, Elbert County,13105,166.8
Emanuel County, Emanuel County,13107,323.1
Evans County, Evans County,13109,367.7
Fannin County, Fannin County,13111,241.8
Fayette County, Fayette County,13113,99.4
Floyd County, Floyd County,13115,274.8
Forsyth County, Forsyth County,13117,84.5
Franklin County, Franklin County,13119,309.8
Fulton County, Fulton County,13121,207.5
Gilmer County, Gilmer County,13123,137.3
Glascock County, Glascock County,13125,
Glynn County, Glynn County,13127,195.1
Gordon County, Gordon County,13129,251
Grady County, Grady County,13131,245.4
Greene County, Greene County,13133,308.1
Gwinnett County, Gwinnett County,13135,131.1
Habersham County, Habersham County,13137,158.4
Hall County, Hall County,13139,200.2
Hancock County, Hancock County,13141,372.7
Haralson County, Haralson County,13143,153.5
Harris County, Harris County,13145,124.1
Hart County, Hart County,13147,135.9
Heard County, Heard County,13149,180.6
Henry County, Henry County,13151,200.5
Houston County, Houston County,13153,257.3
Irwin County, Irwin County,13155,184.4
Jackson County, Jackson County,13157,247.3
Jasper County, Jasper County,13159,275
Jeff Davis County, Jeff Davis County,13161,200.4
Jefferson County, Jefferson County,13163,361.5
Jenkins County, Jenkins County,13165,254.2
Johnson County, Johnson County,13167,181.3
Jones County, Jones County,13169,226.9
Lamar County, Lamar County,13171,259.4
Lanier County, Lanier County,13173,181.9
Laurens County, Laurens County,13175,301.9
Lee County, Lee County,13177,159.9
Liberty County, Liberty County,13179,219.2
Lincoln County, Lincoln County,13181,264.9
Long County, Long County,13183,232.9
Lowndes County, Lowndes County,13185,228.1
Lumpkin County, Lumpkin County,13187,208.7
Macon County, Macon County,13193,294
Madison County, Madison County,13195,234.2
Marion County, Marion County,13197,140.7
McDuffie County, McDuffie County,13189,318.2
McIntosh County, McIntosh County,13191,223
Meriwether County, Meriwether County,13199,397.2
Miller County, Miller County,13201,114.5
Mitchell County, Mitchell County,13205,276.9
Monroe County, Monroe County,13207,219.5
Montgomery County, Montgomery County,13209,177.1
Morgan County, Morgan County,13211,241.7
Murray County, Murray County,13213,235
Muscogee County, Muscogee County,13215,271.5
Newton County, Newton County,13217,232.1
Oconee County, Oconee County,13219,94.2
Oglethorpe County, Oglethorpe County,13221,238.9
Paulding County, Paulding County,13223,177.7
Peach County, Peach County,13225,304.9
Pickens County, Pickens County,13227,163.4
Pierce County, Pierce County,13229,298.6
Pike County, Pike County,13231,195.9
Polk County, Polk County,13233,272.1
Pulaski County, Pulaski County,13235,256.5
Putnam County, Putnam County,13237,227.2
Quitman County, Quitman County,13239,
Rabun County, Rabun County,13241,207.1
Randolph County, Randolph County,13243,252.3
Richmond County, Richmond County,13245,327.1
Rockdale County, Rockdale County,13247,234.8
Schley County, Schley County,13249,251.8
Screven County, Screven County,13251,256
Seminole County, Seminole County,13253,112.2
Spalding County, Spalding County,13255,299.8
Stephens County, Stephens County,13257,281.5
Stewart County, Stewart County,13259,398.5
Sumter County, Sumter County,13261,380.9
Talbot County, Talbot County,13263,153.9
Taliaferro County, Taliaferro County,13265,
Tattnall County, Tattnall County,13267,177.5
Taylor County, Taylor County,13269,438.2
Telfair County, Telfair County,13271,159.8
Terrell County, Terrell County,13273,488.1
Thomas County, Thomas County,13275,306
Tift County, Tift County,13277,261.2
Toombs County, Toombs County,13279,249.1
Towns County, Towns County,13281,252.7
Treutlen County, Treutlen County,13283,542
Troup County, Troup County,13285,333
Turner County, Turner County,13287,248.7
Twiggs County, Twiggs County,13289,260.2
Union County, Union County,13291,126.8
Upson County, Upson County,13293,289.3
Walker County, Walker County,13295,42.4
Walton County, Walton County,13297,191.9
Ware County, Ware County,13299,348.1
Warren County, Warren County,13301,171.6
Washington County, Washington County,13303,296.1
Wayne County, Wayne County,13305,319.9
Webster County, Webster County,13307,
Wheeler County, Wheeler County,13309,123.6
White County, White County,13311,184.7
Whitfield County, Whitfield County,13313,188.7
Wilcox County, Wilcox County,13315,172.3
Wilkes County, Wilkes County,13317,298
Wilkinson County, Wilkinson County,13319,520.2
Worth County, Worth County,13321,211.4
,,unit,%-.1f
