county,CountyName,id,value
Appling County, Appling County,13001,172.2
Atkinson County, Atkinson County,13003,229
Bacon County, Bacon County,13005,219.8
Baker County, Baker County,13007,260.4
Baldwin County, Baldwin County,13009,218.3
Banks County, Banks County,13011,193.6
Barrow County, Barrow County,13013,161.8
Bartow County, Bartow County,13015,276.7
Ben Hill County, Ben Hill County,13017,235.4
Berrien County, Berrien County,13019,214
Bibb County, Bibb County,13021,262.7
Bleckley County, Bleckley County,13023,176
Brantley County, Brantley County,13025,133.1
Brooks County, Brooks County,13027,201.7
Bryan County, Bryan County,13029,174
Bulloch County, Bulloch County,13031,174.9
Burke County, Burke County,13033,251.9
Butts County, Butts County,13035,166.5
Calhoun County, Calhoun County,13037,166.6
Camden County, Camden County,13039,133.2
Candler County, Candler County,13043,152
Carroll County, Carroll County,13045,140.9
Catoosa County, Catoosa County,13047,14.8
Charlton County, Charlton County,13049,79.3
Chatham County, Chatham County,13051,156.4
Chattahoochee County, Chattahoochee County,13053,116.6
Chattooga County, Chattooga County,13055,240.7
Cherokee County, Cherokee County,13057,104.9
Clarke County, Clarke County,13059,150.5
Clay County, Clay County,13061,
Clayton County, Clayton County,13063,207.6
Clinch County, Clinch County,13065,203.1
Cobb County, Cobb County,13067,126.7
Coffee County, Coffee County,13069,239.3
Colquitt County, Colquitt County,13071,287.7
Columbia County, Columbia County,13073,164.2
Cook County, Cook County,13075,250.7
Coweta County, Coweta County,13077,156.9
Crawford County, Crawford County,13079,259.2
Crisp County, Crisp County,13081,299.2
Dade County, Dade County,13083,
Dawson County, Dawson County,13085,135.8
Decatur County, Decatur County,13089,180.7
DeKalb County, DeKalb County,13087,158.5
Dodge County, Dodge County,13091,235.6
Dooly County, Dooly County,13093,201.5
Dougherty County, Dougherty County,13095,276
Douglas County, Douglas County,13097,165.3
Early County, Early County,13099,42.1
Echols County, Echols County,13101,255.3
Effingham County, Effingham County,13103,149.6
Elbert County, Elbert County,13105,136.9
Emanuel County, Emanuel County,13107,362.1
Evans County, Evans County,13109,162.4
Fannin County, Fannin County,13111,99.4
Fayette County, Fayette County,13113,101.2
Floyd County, Floyd County,13115,255.3
Forsyth County, Forsyth County,13117,86.4
Franklin County, Franklin County,13119,133.5
Fulton County, Fulton County,13121,154.8
Gilmer County, Gilmer County,13123,134.2
Glascock County, Glascock County,13125,243.6
Glynn County, Glynn County,13127,164.3
Gordon County, Gordon County,13129,229.5
Grady County, Grady County,13131,185.1
Greene County, Greene County,13133,111
Gwinnett County, Gwinnett County,13135,123.7
Habersham County, Habersham County,13137,119.5
Hall County, Hall County,13139,157.4
Hancock County, Hancock County,13141,235.4
Haralson County, Haralson County,13143,198.7
Harris County, Harris County,13145,81.4
Hart County, Hart County,13147,92.1
Heard County, Heard County,13149,98.5
Henry County, Henry County,13151,166.8
Houston County, Houston County,13153,232.5
Irwin County, Irwin County,13155,193.2
Jackson County, Jackson County,13157,183.4
Jasper County, Jasper County,13159,156.7
Jeff Davis County, Jeff Davis County,13161,220.5
Jefferson County, Jefferson County,13163,290.2
Jenkins County, Jenkins County,13165,175.2
Johnson County, Johnson County,13167,236.6
Jones County, Jones County,13169,183.5
Lamar County, Lamar County,13171,154.8
Lanier County, Lanier County,13173,177
Laurens County, Laurens County,13175,291.6
Lee County, Lee County,13177,165.5
Liberty County, Liberty County,13179,164.7
Lincoln County, Lincoln County,13181,181.4
Long County, Long County,13183,127.3
Lowndes County, Lowndes County,13185,180
Lumpkin County, Lumpkin County,13187,149.5
Macon County, Macon County,13193,313.4
Madison County, Madison County,13195,159.5
Marion County, Marion County,13197,189.9
McDuffie County, McDuffie County,13189,311.6
McIntosh County, McIntosh County,13191,144
Meriwether County, Meriwether County,13199,175.9
Miller County, Miller County,13201,135.9
Mitchell County, Mitchell County,13205,264.8
Monroe County, Monroe County,13207,152.6
Montgomery County, Montgomery County,13209,117.5
Morgan County, Morgan County,13211,162.7
Murray County, Murray County,13213,187
Muscogee County, Muscogee County,13215,194.1
Newton County, Newton County,13217,210.1
Oconee County, Oconee County,13219,96
Oglethorpe County, Oglethorpe County,13221,177.9
Paulding County, Paulding County,13223,167
Peach County, Peach County,13225,272.5
Pickens County, Pickens County,13227,169.6
Pierce County, Pierce County,13229,192.1
Pike County, Pike County,13231,94.8
Polk County, Polk County,13233,282
Pulaski County, Pulaski County,13235,132.9
Putnam County, Putnam County,13237,171.3
Quitman County, Quitman County,13239,126.3
Rabun County, Rabun County,13241,67.1
Randolph County, Randolph County,13243,282.7
Richmond County, Richmond County,13245,297.3
Rockdale County, Rockdale County,13247,182.7
Schley County, Schley County,13249,105.1
Screven County, Screven County,13251,225.6
Seminole County, Seminole County,13253,
Spalding County, Spalding County,13255,146.8
Stephens County, Stephens County,13257,162.4
Stewart County, Stewart County,13259,
Sumter County, Sumter County,13261,272.1
Talbot County, Talbot County,13263,148.4
Taliaferro County, Taliaferro County,13265,
Tattnall County, Tattnall County,13267,200.9
Taylor County, Taylor County,13269,194.9
Telfair County, Telfair County,13271,185.1
Terrell County, Terrell County,13273,191.3
Thomas County, Thomas County,13275,235.2
Tift County, Tift County,13277,218.9
Toombs County, Toombs County,13279,278.3
Towns County, Towns County,13281,108.4
Treutlen County, Treutlen County,13283,256.5
Troup County, Troup County,13285,193.3
Turner County, Turner County,13287,363.7
Twiggs County, Twiggs County,13289,224.4
Union County, Union County,13291,47.1
Upson County, Upson County,13293,146.7
Walker County, Walker County,13295,16.2
Walton County, Walton County,13297,158.2
Ware County, Ware County,13299,236
Warren County, Warren County,13301,453.9
Washington County, Washington County,13303,153.7
Wayne County, Wayne County,13305,132.5
Webster County, Webster County,13307,
Wheeler County, Wheeler County,13309,154.8
White County, White County,13311,122.8
Whitfield County, Whitfield County,13313,117.8
Wilcox County, Wilcox County,13315,196.5
Wilkes County, Wilkes County,13317,213.4
Wilkinson County, Wilkinson County,13319,180.1
Worth County, Worth County,13321,210.7
,,unit,%-.1f
